round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
61,0.7775,0.4531,446958480,0.008850,1,0,9,0,0,0.3251,1.2876,2,topk,1,1
62,0.7832,0.3936,446958480,0.008833,4,0,0,5,1,0.9433,1.2876,3,interp0,1,1
63,0.7883,0.4133,446958480,0.008815,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
64,0.7770,0.4167,446958480,0.008797,5,1,3,1,0,1.1683,1.2876,0,stab,1,1
65,0.7909,0.3922,446958480,0.008780,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
66,0.7933,0.3316,446958480,0.008762,7,1,2,0,0,0.8018,1.2876,0,stab,1,1
67,0.7941,0.4486,446958480,0.008745,0,10,0,0,0,0.0000,1.2876,1,used,1,1
68,0.7875,0.3454,446958480,0.008727,6,2,2,0,0,0.9503,1.2876,0,stab,1,1
69,0.7925,0.3533,446958480,0.008710,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
70,0.7931,0.3802,446958480,0.008692,8,2,0,0,0,0.5004,1.2876,0,stab,1,1
71,0.7966,0.3464,446958480,0.008675,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
72,0.7968,0.3945,446958480,0.008658,2,1,1,3,3,1.5048,1.2876,3,interp0,1,0
73,0.7979,0.3616,446958480,0.008640,0,10,0,0,0,0.0000,1.2876,1,used,1,1
74,0.8023,0.3013,446958480,0.008623,1,3,4,1,1,1.4185,1.2876,2,topk,1,0
75,0.8027,0.2795,446958480,0.008606,0,0,0,1,9,0.3251,1.2876,4,interp1,1,1
76,0.7994,0.3252,446958480,0.008589,0,10,0,0,0,0.0000,1.2876,1,used,1,1
77,0.7965,0.3242,446958480,0.008571,2,5,2,1,0,1.2206,1.2876,1,used,1,1
78,0.7999,0.3557,446958480,0.008554,1,5,1,3,0,1.1683,1.2876,1,used,1,1
79,0.8040,0.3382,446958480,0.008537,0,0,5,0,5,0.6931,1.2876,2,topk,1,1
80,0.8046,0.3313,446958480,0.008520,0,2,6,0,2,0.9503,1.2876,2,topk,1,1
81,0.7981,0.3562,446958480,0.008503,0,0,9,0,1,0.3251,1.2876,2,topk,1,1
82,0.8061,0.3188,446958480,0.008486,0,9,0,1,0,0.3251,1.2876,1,used,1,1
83,0.8120,0.2827,446958480,0.008469,2,0,7,1,0,0.8018,1.2876,2,topk,1,1
84,0.8044,0.2918,446958480,0.008452,0,0,2,1,7,0.8018,1.2876,4,interp1,1,1
85,0.8091,0.3055,446958480,0.008435,0,5,4,1,0,0.9433,1.2876,1,used,1,1
86,0.8030,0.3522,446958480,0.008418,0,0,6,4,0,0.6730,1.2876,2,topk,1,1
87,0.8120,0.3300,446958480,0.008402,1,0,8,0,1,0.6390,1.2876,2,topk,1,1
88,0.8129,0.2711,446958480,0.008385,2,2,5,1,0,1.2206,1.2876,2,topk,1,1
89,0.8173,0.2804,446958480,0.008368,1,2,5,1,1,1.3592,1.2876,2,topk,1,0
90,0.8217,0.2952,446958480,0.008351,1,4,1,3,1,1.4185,1.2876,1,used,1,0
91,0.8174,0.2726,446958480,0.008334,0,3,0,1,6,0.8979,1.2876,4,interp1,1,1
92,0.8212,0.2926,446958480,0.008318,0,2,6,1,1,1.0889,1.2876,2,topk,1,1
93,0.8204,0.2717,446958480,0.008301,1,5,1,1,2,1.3592,1.2876,1,used,1,0
94,0.8220,0.2598,446958480,0.008285,0,3,1,5,1,1.1683,1.2876,3,interp0,1,1
95,0.8107,0.3329,446958480,0.008268,2,2,1,0,5,1.2206,1.2876,4,interp1,1,1
96,0.8156,0.2369,446958480,0.008251,0,1,1,2,6,1.0889,1.2876,4,interp1,1,1
97,0.8224,0.2558,446958480,0.008235,1,0,2,7,0,0.8018,1.2876,3,interp0,1,1
98,0.8254,0.2877,446958480,0.008219,0,5,0,4,1,0.9433,1.2876,1,used,1,1
99,0.8246,0.2785,446958480,0.008202,0,1,2,2,5,1.2206,1.2876,4,interp1,1,1
100,0.8238,0.2507,446958480,0.008186,0,0,5,2,3,1.0297,1.2876,2,topk,1,1
101,0.8177,0.2583,446958480,0.008169,0,0,3,3,4,1.0889,1.2876,4,interp1,1,1
102,0.8188,0.3638,446958480,0.008153,0,0,5,3,2,1.0297,1.2876,2,topk,1,1
103,0.8254,0.2780,446958480,0.008137,0,1,1,4,4,1.1935,1.2876,3,interp0,1,1
104,0.8246,0.2608,446958480,0.008120,1,4,1,2,2,1.4708,1.2876,1,used,1,0
105,0.8240,0.2662,446958480,0.008104,0,3,3,4,0,1.0889,1.2876,3,interp0,1,1
106,0.8291,0.2282,446958480,0.008088,1,5,3,1,0,1.1683,1.2876,1,used,1,1
107,0.8262,0.2447,446958480,0.008072,2,0,2,0,6,0.9503,1.2876,4,interp1,1,1
108,0.8239,0.2523,446958480,0.008056,1,0,7,1,1,0.9404,1.2876,2,topk,1,1
109,0.8319,0.2925,446958480,0.008039,0,1,5,3,1,1.1683,1.2876,2,topk,1,1
110,0.8303,0.2672,446958480,0.008023,2,1,4,1,2,1.4708,1.2876,2,topk,1,0
111,0.8349,0.2162,446958480,0.008007,3,4,1,0,2,1.2799,1.2876,1,used,1,1
112,0.8281,0.2703,446958480,0.007991,0,1,3,5,1,1.1683,1.2876,3,interp0,1,1
113,0.8326,0.2923,446958480,0.007975,0,0,5,0,5,0.6931,1.2876,2,topk,1,1
114,0.8348,0.2014,446958480,0.007959,0,0,3,6,1,0.8979,1.2876,3,interp0,1,1
115,0.8370,0.2510,446958480,0.007944,0,3,4,0,3,1.0889,1.2876,2,topk,1,1
116,0.8367,0.2073,446958480,0.007928,0,1,3,1,5,1.1683,1.2876,4,interp1,1,1
117,0.8361,0.2136,446958480,0.007912,0,2,2,6,0,0.9503,1.2876,3,interp0,1,1
118,0.8377,0.1980,446958480,0.007896,1,6,1,2,0,1.0889,1.2876,1,used,1,1
119,0.8390,0.2011,446958480,0.007880,0,3,6,1,0,0.8979,1.2876,2,topk,1,1
120,0.8417,0.1948,446958480,0.007864,0,7,3,0,0,0.6109,1.2876,1,used,1,1
121,0.8393,0.1947,446958480,0.007849,0,0,7,3,0,0.6109,1.2876,2,topk,1,1
122,0.8335,0.2000,446958480,0.007833,0,0,5,5,0,0.6931,1.2876,2,topk,1,1
123,0.8417,0.2242,446958480,0.007817,0,0,6,4,0,0.6730,1.2876,2,topk,1,1
124,0.8427,0.2449,446958480,0.007802,0,3,7,0,0,0.6109,1.2876,2,topk,1,1
125,0.8453,0.1696,446958480,0.007786,0,1,8,0,1,0.6390,1.2876,2,topk,1,1
126,0.8369,0.2436,446958480,0.007770,0,1,8,0,1,0.6390,1.2876,2,topk,1,1
127,0.8371,0.2856,446958480,0.007755,1,1,0,4,4,1.1935,1.2876,3,interp0,1,1
128,0.8348,0.2501,446958480,0.007739,0,0,4,1,5,0.9433,1.2876,4,interp1,1,1
129,0.8408,0.2387,446958480,0.007724,0,0,5,5,0,0.6931,1.2876,2,topk,1,1
130,0.8397,0.2152,446958480,0.007709,0,0,7,0,3,0.6109,1.2876,2,topk,1,1
131,0.8448,0.1759,446958480,0.007693,0,0,7,3,0,0.6109,1.2876,2,topk,1,1
132,0.8436,0.2089,446958480,0.007678,0,0,7,3,0,0.6109,1.2876,2,topk,1,1
133,0.8404,0.2174,446958480,0.007662,0,0,6,0,4,0.6730,1.2876,2,topk,1,1
134,0.8414,0.2507,446958480,0.007647,0,0,8,0,2,0.5004,1.2876,2,topk,1,1
135,0.8402,0.1882,446958480,0.007632,0,0,0,5,5,0.6931,1.2876,3,interp0,1,1
136,0.8431,0.1810,446958480,0.007616,0,5,5,0,0,0.6931,1.2876,1,used,1,1
137,0.8495,0.1623,446958480,0.007601,0,0,9,0,1,0.3251,1.2876,2,topk,1,1
138,0.8442,0.1753,446958480,0.007586,1,3,0,5,1,1.1683,1.2876,3,interp0,1,1
139,0.8473,0.1927,446958480,0.007571,0,1,5,3,1,1.1683,1.2876,2,topk,1,1
140,0.8421,0.2132,446958480,0.007556,0,2,7,1,0,0.8018,1.2876,2,topk,1,1
141,0.8473,0.1796,446958480,0.007541,2,3,3,2,0,1.3662,1.2876,1,used,1,0
142,0.8464,0.2333,446958480,0.007526,0,3,4,1,2,1.2799,1.2876,2,topk,1,1
143,0.8469,0.1798,446958480,0.007510,0,3,2,2,3,1.3662,1.2876,1,used,1,0
144,0.8466,0.1817,446958480,0.007495,0,0,5,2,3,1.0297,1.2876,2,topk,1,1
145,0.8386,0.2007,446958480,0.007480,1,0,1,0,8,0.6390,1.2876,4,interp1,1,1
146,0.8464,0.2089,446958480,0.007466,0,3,4,0,3,1.0889,1.2876,2,topk,1,1
147,0.8482,0.2036,446958480,0.007451,0,0,3,1,6,0.8979,1.2876,4,interp1,1,1
148,0.8524,0.1765,446958480,0.007436,0,0,7,1,2,0.8018,1.2876,2,topk,1,1
149,0.8434,0.2072,446958480,0.007421,0,1,7,0,2,0.8018,1.2876,2,topk,1,1
150,0.8479,0.2025,446958480,0.007406,0,3,4,0,3,1.0889,1.2876,2,topk,1,1
151,0.8403,0.2391,446958480,0.007391,0,1,6,0,3,0.8979,1.2876,2,topk,1,1
152,0.8461,0.2258,446958480,0.007376,0,2,5,2,1,1.2206,1.2876,2,topk,1,1
153,0.8506,0.1981,446958480,0.007362,0,3,2,3,2,1.3662,1.2876,1,used,1,0
154,0.8545,0.1556,446958480,0.007347,2,1,4,0,3,1.2799,1.2876,2,topk,1,1
155,0.8545,0.1786,446958480,0.007332,0,0,4,1,5,0.9433,1.2876,4,interp1,1,1
156,0.8473,0.2089,446958480,0.007318,1,2,5,0,2,1.2206,1.2876,2,topk,1,1
157,0.8518,0.1646,446958480,0.007303,0,2,2,3,3,1.3662,1.2876,3,interp0,1,0
158,0.8543,0.1911,446958480,0.007288,0,5,5,0,0,0.6931,1.2876,1,used,1,1
159,0.8537,0.1539,446958480,0.007274,0,0,8,2,0,0.5004,1.2876,2,topk,1,1
160,0.8564,0.1510,446958480,0.007259,0,0,6,0,4,0.6730,1.2876,2,topk,1,1
161,0.8577,0.1976,446958480,0.007245,0,3,6,1,0,0.8979,1.2876,2,topk,1,1
162,0.8544,0.1652,446958480,0.007230,0,4,5,1,0,0.9433,1.2876,2,topk,1,1
163,0.8546,0.1629,446958480,0.007216,0,1,3,4,2,1.2799,1.2876,3,interp0,1,1
164,0.8534,0.2275,446958480,0.007201,0,4,3,0,3,1.0889,1.2876,1,used,1,1
165,0.8590,0.1447,446958480,0.007187,0,4,3,1,2,1.2799,1.2876,1,used,1,1
166,0.8559,0.1904,446958480,0.007172,0,2,4,1,3,1.2799,1.2876,2,topk,1,1
167,0.8542,0.1378,446958480,0.007158,0,0,2,2,6,0.9503,1.2876,4,interp1,1,1
168,0.8520,0.1952,446958480,0.007144,0,1,7,1,1,0.9404,1.2876,2,topk,1,1
169,0.8562,0.1983,446958480,0.007130,0,1,0,5,4,0.9433,1.2876,3,interp0,1,1
170,0.8527,0.1980,446958480,0.007115,0,2,4,4,0,1.0549,1.2876,2,topk,1,1
171,0.8561,0.1888,446958480,0.007101,0,0,6,2,2,0.9503,1.2876,2,topk,1,1
172,0.8572,0.1808,446958480,0.007087,0,1,5,0,4,0.9433,1.2876,2,topk,1,1
173,0.8607,0.1237,446958480,0.007073,0,0,5,2,3,1.0297,1.2876,2,topk,1,1
174,0.8605,0.1515,446958480,0.007059,0,0,4,6,0,0.6730,1.2876,3,interp0,1,1
175,0.8546,0.1634,446958480,0.007044,0,1,3,0,6,0.8979,1.2876,4,interp1,1,1
176,0.8591,0.1674,446958480,0.007030,0,2,3,0,5,1.0297,1.2876,4,interp1,1,1
177,0.8573,0.1417,446958480,0.007016,0,0,5,4,1,0.9433,1.2876,2,topk,1,1
178,0.8625,0.1492,446958480,0.007002,0,0,6,2,2,0.9503,1.2876,2,topk,1,1
179,0.8581,0.1549,446958480,0.006988,0,0,3,3,4,1.0889,1.2876,4,interp1,1,1
180,0.8588,0.1358,446958480,0.006974,1,0,4,3,2,1.2799,1.2876,2,topk,1,1
181,0.8609,0.1366,446958480,0.006960,0,5,4,0,1,0.9433,1.2876,1,used,1,1
182,0.8598,0.1389,446958480,0.006946,0,2,3,0,5,1.0297,1.2876,4,interp1,1,1
183,0.8647,0.1334,446958480,0.006932,0,0,3,2,5,1.0297,1.2876,4,interp1,1,1
184,0.8539,0.1874,446958480,0.006919,0,0,6,3,1,0.8979,1.2876,2,topk,1,1
185,0.8584,0.1528,446958480,0.006905,0,1,4,2,3,1.2799,1.2876,2,topk,1,1
186,0.8592,0.1344,446958480,0.006891,0,2,2,4,2,1.3322,1.2876,3,interp0,1,0
187,0.8633,0.1639,446958480,0.006877,0,0,5,2,3,1.0297,1.2876,2,topk,1,1
188,0.8641,0.1815,446958480,0.006863,0,2,7,0,1,0.8018,1.2876,2,topk,1,1
189,0.8616,0.1629,446958480,0.006850,0,0,3,4,3,1.0889,1.2876,3,interp0,1,1
190,0.8624,0.1636,446958480,0.006836,0,0,5,2,3,1.0297,1.2876,2,topk,1,1
191,0.8648,0.1277,446958480,0.006822,0,0,1,3,6,0.8979,1.2876,4,interp1,1,1
192,0.8618,0.1412,446958480,0.006809,0,5,4,1,0,0.9433,1.2876,1,used,1,1
193,0.8637,0.1074,446958480,0.006795,0,5,3,2,0,1.0297,1.2876,1,used,1,1
194,0.8597,0.1310,446958480,0.006781,0,3,3,0,4,1.0889,1.2876,4,interp1,1,1
195,0.8659,0.1128,446958480,0.006768,0,2,4,4,0,1.0549,1.2876,2,topk,1,1
196,0.8653,0.1208,446958480,0.006754,0,0,5,2,3,1.0297,1.2876,2,topk,1,1
197,0.8623,0.1425,446958480,0.006741,0,1,3,2,4,1.2799,1.2876,4,interp1,1,1
198,0.8616,0.1221,446958480,0.006727,0,2,1,3,4,1.2799,1.2876,4,interp1,1,1
199,0.8657,0.1331,446958480,0.006714,0,4,2,3,1,1.2799,1.2876,1,used,1,1
200,0.8641,0.1282,446958480,0.006701,0,4,1,4,1,1.1935,1.2876,1,used,1,1
201,0.8667,0.1706,446958480,0.006687,1,1,2,3,3,1.5048,1.2876,3,interp0,1,0
202,0.8692,0.1223,446958480,0.006674,0,4,2,2,2,1.3322,1.2876,1,used,1,0
203,0.8677,0.1120,446958480,0.006660,0,4,4,2,0,1.0549,1.2876,1,used,1,1
204,0.8677,0.1308,446958480,0.006647,0,3,1,6,0,0.8979,1.2876,3,interp0,1,1
205,0.8629,0.1628,446958480,0.006634,0,1,5,2,2,1.2206,1.2876,2,topk,1,1
206,0.8680,0.1521,446958480,0.006621,0,4,4,1,1,1.1935,1.2876,1,used,1,1
207,0.8689,0.1467,446958480,0.006607,0,4,2,4,0,1.0549,1.2876,1,used,1,1
208,0.8635,0.1637,446958480,0.006594,0,1,2,5,2,1.2206,1.2876,3,interp0,1,1
209,0.8688,0.1406,446958480,0.006581,0,3,0,3,4,1.0889,1.2876,4,interp1,1,1
210,0.8697,0.1308,446958480,0.006568,0,2,4,0,4,1.0549,1.2876,2,topk,1,1
211,0.8658,0.1285,446958480,0.006555,0,2,4,4,0,1.0549,1.2876,2,topk,1,1
212,0.8669,0.1264,446958480,0.006541,1,0,4,3,2,1.2799,1.2876,2,topk,1,1
213,0.8702,0.1323,446958480,0.006528,0,1,4,2,3,1.2799,1.2876,2,topk,1,1
214,0.8694,0.1669,446958480,0.006515,0,7,3,0,0,0.6109,1.2876,1,used,1,1
215,0.8674,0.1169,446958480,0.006502,0,0,7,0,3,0.6109,1.2876,2,topk,1,1
216,0.8684,0.1237,446958480,0.006489,0,0,3,0,7,0.6109,1.2876,4,interp1,1,1
217,0.8689,0.1007,446958480,0.006476,0,3,7,0,0,0.6109,1.2876,2,topk,1,1
218,0.8657,0.1428,446958480,0.006463,0,0,4,6,0,0.6730,1.2876,3,interp0,1,1
219,0.8660,0.1246,446958480,0.006450,1,0,4,0,5,0.9433,1.2876,4,interp1,1,1
220,0.8693,0.1113,446958480,0.006438,0,0,7,2,1,0.8018,1.2876,2,topk,1,1
221,0.8696,0.1263,446958480,0.006425,0,5,2,3,0,1.0297,1.2876,1,used,1,1
222,0.8731,0.1178,446958480,0.006412,0,0,6,2,2,0.9503,1.2876,2,topk,1,1
223,0.8715,0.0955,446958480,0.006399,0,0,2,2,6,0.9503,1.2876,4,interp1,1,1
224,0.8663,0.1395,446958480,0.006386,0,5,2,0,3,1.0297,1.2876,1,used,1,1
225,0.8733,0.1036,446958480,0.006373,0,1,3,5,1,1.1683,1.2876,3,interp0,1,1
226,0.8681,0.1771,446958480,0.006361,0,2,1,5,2,1.2206,1.2876,3,interp0,1,1
227,0.8763,0.1381,446958480,0.006348,0,2,3,3,2,1.3662,1.2876,2,topk,1,0
228,0.8699,0.1131,446958480,0.006335,0,1,5,3,1,1.1683,1.2876,2,topk,1,1
229,0.8713,0.1252,446958480,0.006323,0,4,3,0,3,1.0889,1.2876,1,used,1,1
230,0.8678,0.1402,446958480,0.006310,0,0,7,1,2,0.8018,1.2876,2,topk,1,1
231,0.8707,0.1242,446958480,0.006297,0,0,4,4,2,1.0549,1.2876,2,topk,1,1
232,0.8688,0.1174,446958480,0.006285,0,0,3,5,2,1.0297,1.2876,3,interp0,1,1
233,0.8709,0.0969,446958480,0.006272,0,1,2,4,3,1.2799,1.2876,3,interp0,1,1
234,0.8700,0.1287,446958480,0.006260,0,2,3,3,2,1.3662,1.2876,2,topk,1,0
235,0.8736,0.1106,446958480,0.006247,2,0,3,2,3,1.3662,1.2876,2,topk,1,0
236,0.8690,0.1118,446958480,0.006235,0,0,6,1,3,0.8979,1.2876,2,topk,1,1
237,0.8712,0.1561,446958480,0.006222,0,3,4,0,3,1.0889,1.2876,2,topk,1,1
238,0.8690,0.1211,446958480,0.006210,0,0,7,0,3,0.6109,1.2876,2,topk,1,1
239,0.8681,0.1201,446958480,0.006197,0,4,6,0,0,0.6730,1.2876,2,topk,1,1
240,0.8721,0.1054,446958480,0.006185,0,0,4,0,6,0.6730,1.2876,4,interp1,1,1
241,0.8715,0.0999,446958480,0.006172,0,0,2,0,8,0.5004,1.2876,4,interp1,1,1
242,0.8739,0.1033,446958480,0.006160,0,0,5,0,5,0.6931,1.2876,2,topk,1,1
243,0.8730,0.0907,446958480,0.006148,0,0,7,3,0,0.6109,1.2876,2,topk,1,1
244,0.8696,0.1220,446958480,0.006136,0,0,5,0,5,0.6931,1.2876,2,topk,1,1
245,0.8730,0.0855,446958480,0.006123,0,0,5,0,5,0.6931,1.2876,2,topk,1,1
246,0.8761,0.1212,446958480,0.006111,6,0,4,0,0,0.6730,1.2876,0,stab,1,1
