round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,usage_interp2,usage_interp3,usage_orth0,usage_seed0,usage_seed1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
0,0.2092,1.8750,446958480,0.010000,0,1,4,1,0,0,1,0,2,1,1.6094,1.8421,2,topk,1,1
1,0.2581,1.6804,446958480,0.009980,0,4,2,0,0,0,2,1,1,0,1.4708,1.8421,1,used,1,1
2,0.3405,1.6661,446958480,0.009960,0,1,1,2,0,0,6,0,0,0,1.0889,1.8421,6,interp3,1,1
3,0.3399,1.4994,446958480,0.009940,0,0,3,0,3,4,0,0,0,0,1.0889,1.8421,5,interp2,1,1
4,0.4181,1.4634,446958480,0.009920,3,1,0,0,6,0,0,0,0,0,0.8979,1.8421,4,interp1,1,1
5,0.4136,1.3848,446958480,0.009900,0,0,10,0,0,0,0,0,0,0,0.0000,1.8421,2,topk,1,1
6,0.4538,1.3197,446958480,0.009881,0,0,0,0,10,0,0,0,0,0,0.0000,1.8421,4,interp1,1,1
7,0.4635,1.2866,446958480,0.009861,0,0,0,0,1,9,0,0,0,0,0.3251,1.8421,5,interp2,1,1
8,0.4864,1.2684,446958480,0.009841,0,6,0,0,4,0,0,0,0,0,0.6730,1.8421,1,used,1,1
9,0.4385,1.1407,446958480,0.009821,0,0,0,0,0,10,0,0,0,0,0.0000,1.8421,5,interp2,1,1
10,0.4578,1.1499,446958480,0.009802,0,0,0,10,0,0,0,0,0,0,0.0000,1.8421,3,interp0,1,1
11,0.4716,1.1531,446958480,0.009782,0,10,0,0,0,0,0,0,0,0,0.0000,1.8421,1,used,1,1
12,0.5100,1.0937,446958480,0.009763,0,0,0,10,0,0,0,0,0,0,0.0000,1.8421,3,interp0,1,1
13,0.5345,1.1718,446958480,0.009743,0,0,0,0,0,5,0,0,5,0,0.6931,1.8421,5,interp2,1,1
14,0.5300,0.9703,446958480,0.009724,4,0,0,0,0,0,0,0,0,6,0.6730,1.8421,9,seed1,1,1
15,0.5459,1.0719,446958480,0.009704,0,0,0,9,0,0,0,1,0,0,0.3251,1.8421,3,interp0,1,1
16,0.5500,0.8956,446958480,0.009685,0,0,0,10,0,0,0,0,0,0,0.0000,1.8421,3,interp0,1,1
17,0.5546,0.8813,446958480,0.009665,0,0,0,10,0,0,0,0,0,0,0.0000,1.8421,3,interp0,1,1
18,0.5726,0.9120,446958480,0.009646,0,0,0,0,6,0,0,0,4,0,0.6730,1.8421,4,interp1,1,1
19,0.5809,0.9210,446958480,0.009627,0,0,8,0,0,0,0,0,2,0,0.5004,1.8421,2,topk,1,1
20,0.5556,0.8853,446958480,0.009608,0,0,0,0,0,0,0,0,10,0,0.0000,1.8421,8,seed0,1,1
21,0.5973,0.7991,446958480,0.009588,0,0,0,0,0,0,10,0,0,0,0.0000,1.8421,6,interp3,1,1
22,0.5498,0.9172,446958480,0.009569,0,0,0,0,0,0,0,0,10,0,0.0000,1.8421,8,seed0,1,1
23,0.6189,0.8002,446958480,0.009550,0,0,0,0,0,0,10,0,0,0,0.0000,1.8421,6,interp3,1,1
24,0.5915,0.8193,446958480,0.009531,0,0,0,0,0,0,0,0,0,10,0.0000,1.8421,9,seed1,1,1
25,0.6446,0.7751,446958480,0.009512,0,0,0,0,0,0,10,0,0,0,0.0000,1.8421,6,interp3,1,1
26,0.6266,0.8432,446958480,0.009493,0,0,0,0,0,0,0,0,10,0,0.0000,1.8421,8,seed0,1,1
27,0.6314,0.6970,446958480,0.009474,0,0,0,10,0,0,0,0,0,0,0.0000,1.8421,3,interp0,1,1
28,0.6457,0.8082,446958480,0.009455,1,0,0,0,0,0,0,0,0,9,0.3251,1.8421,9,seed1,1,1
29,0.5985,1.1890,446958480,0.009436,0,0,0,0,0,0,0,10,0,0,0.0000,1.8421,7,orth0,1,1
30,0.6429,0.7599,446958480,0.009417,0,0,0,0,0,0,10,0,0,0,0.0000,1.8421,6,interp3,1,1
31,0.6214,0.8359,446958480,0.009398,1,2,2,0,0,0,0,0,1,4,1.4708,1.8421,9,seed1,1,1
32,0.6064,0.7518,446958480,0.009379,0,2,0,5,0,0,3,0,0,0,1.0297,1.8421,3,interp0,1,1
33,0.6137,0.6805,446958480,0.009361,0,0,0,10,0,0,0,0,0,0,0.0000,1.8421,3,interp0,1,1
34,0.6775,0.7815,446958480,0.009342,0,0,0,0,0,0,0,0,0,10,0.0000,1.8421,9,seed1,1,1
35,0.6719,0.6615,446958480,0.009323,0,0,0,0,1,0,0,0,9,0,0.3251,1.8421,8,seed0,1,1
36,0.6695,0.6493,446958480,0.009305,0,0,0,0,0,0,1,0,9,0,0.3251,1.8421,8,seed0,1,1
37,0.6998,0.5894,446958480,0.009286,0,0,5,0,0,0,0,0,2,3,1.0297,1.8421,2,topk,1,1
38,0.6859,0.5490,446958480,0.009267,1,0,0,0,7,1,1,0,0,0,0.9404,1.8421,4,interp1,1,1
39,0.6912,0.5439,446958480,0.009249,0,0,0,0,0,10,0,0,0,0,0.0000,1.8421,5,interp2,1,1
40,0.6879,0.6688,446958480,0.009230,0,0,0,0,0,0,0,0,3,7,0.6109,1.8421,9,seed1,1,1
41,0.7064,0.4970,446958480,0.009212,0,0,1,7,2,0,0,0,0,0,0.8018,1.8421,3,interp0,1,1
42,0.7275,0.5585,446958480,0.009194,0,0,0,0,0,10,0,0,0,0,0.0000,1.8421,5,interp2,1,1
43,0.7113,0.5433,446958480,0.009175,0,0,0,0,10,0,0,0,0,0,0.0000,1.8421,4,interp1,1,1
44,0.6995,0.6552,446958480,0.009157,0,0,0,0,0,0,0,0,0,10,0.0000,1.8421,9,seed1,1,1
45,0.7267,0.5079,446958480,0.009138,0,0,0,0,0,10,0,0,0,0,0.0000,1.8421,5,interp2,1,1
46,0.7035,0.5992,446958480,0.009120,0,0,0,0,0,0,0,0,0,10,0.0000,1.8421,9,seed1,1,1
47,0.7272,0.5163,446958480,0.009102,0,0,0,10,0,0,0,0,0,0,0.0000,1.8421,3,interp0,1,1
48,0.7189,0.5280,446958480,0.009084,0,0,0,0,0,0,0,0,10,0,0.0000,1.8421,8,seed0,1,1
49,0.6921,0.5619,446958480,0.009066,0,0,0,1,0,1,0,0,3,5,1.1683,1.8421,9,seed1,1,1
50,0.7181,0.4907,446958480,0.009047,0,0,0,0,0,0,10,0,0,0,0.0000,1.8421,6,interp3,1,1
51,0.7324,0.7320,446958480,0.009029,0,0,0,0,0,0,0,0,10,0,0.0000,1.8421,8,seed0,1,1
52,0.7312,0.4870,446958480,0.009011,0,0,0,0,0,0,10,0,0,0,0.0000,1.8421,6,interp3,1,1
53,0.7310,0.5767,446958480,0.008993,0,0,0,0,0,0,0,0,1,9,0.3251,1.8421,9,seed1,1,1
54,0.7311,0.5030,446958480,0.008975,0,10,0,0,0,0,0,0,0,0,0.0000,1.8421,1,used,1,1
55,0.7431,0.5862,446958480,0.008957,0,0,0,0,0,0,0,0,9,1,0.3251,1.8421,8,seed0,1,1
56,0.7365,0.4838,446958480,0.008939,0,1,0,1,0,0,4,0,4,0,1.1935,1.8421,6,interp3,1,1
57,0.7481,0.4566,446958480,0.008922,0,0,0,0,10,0,0,0,0,0,0.0000,1.8421,4,interp1,1,1
58,0.7462,0.3828,446958480,0.008904,1,0,2,0,2,2,0,1,0,2,1.7481,1.8421,2,topk,1,1
59,0.7443,0.5135,446958480,0.008886,0,0,3,0,0,2,0,0,0,5,1.0297,1.8421,9,seed1,1,1
60,0.7662,0.4244,446958480,0.008868,1,2,0,0,1,1,3,1,0,1,1.8344,1.8421,6,interp3,1,1
61,0.7706,0.5354,446958480,0.008850,0,0,0,0,0,0,1,4,1,4,1.1935,1.8421,7,orth0,1,1
62,0.7623,0.4101,446958480,0.008833,0,0,0,0,1,0,9,0,0,0,0.3251,1.8421,6,interp3,1,1
63,0.7422,0.3620,446958480,0.008815,1,0,9,0,0,0,0,0,0,0,0.3251,1.8421,2,topk,1,1
64,0.7807,0.3941,446958480,0.008797,0,3,0,1,1,3,0,2,0,0,1.5048,1.8421,1,used,1,1
65,0.7720,0.3635,446958480,0.008780,0,1,0,2,0,1,5,0,1,0,1.3592,1.8421,6,interp3,1,1
66,0.7640,0.4001,446958480,0.008762,2,0,2,0,4,0,0,0,2,0,1.3322,1.8421,4,interp1,1,1
67,0.7614,0.3721,446958480,0.008745,0,1,7,0,0,1,0,0,0,1,0.9404,1.8421,2,topk,1,1
