round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.2710,2.2095,446958480,0.010000
1,0.3538,1.9433,446958480,0.009980
2,0.3938,1.7389,446958480,0.009960
3,0.4194,1.7092,446958480,0.009940
4,0.4500,1.5360,446958480,0.009920
5,0.4589,1.5214,446958480,0.009900
6,0.4817,1.4597,446958480,0.009881
7,0.4908,1.3608,446958480,0.009861
8,0.5071,1.3713,446958480,0.009841
9,0.5057,1.3738,446958480,0.009821
10,0.5311,1.2446,446958480,0.009802
11,0.5313,1.2190,446958480,0.009782
12,0.5590,1.1450,446958480,0.009763
13,0.5867,1.1622,446958480,0.009743
14,0.5906,1.0375,446958480,0.009724
15,0.5962,1.0391,446958480,0.009704
16,0.6187,1.0046,446958480,0.009685
17,0.6248,0.9391,446958480,0.009665
18,0.6452,0.9287,446958480,0.009646
19,0.6599,0.9343,446958480,0.009627
20,0.6710,0.7566,446958480,0.009608
21,0.6651,0.8066,446958480,0.009588
22,0.6786,0.7417,446958480,0.009569
23,0.6674,0.8548,446958480,0.009550
24,0.6828,0.6916,446958480,0.009531
25,0.6828,0.7865,446958480,0.009512
26,0.6939,0.6451,446958480,0.009493
27,0.7147,0.6176,446958480,0.009474
28,0.7180,0.6008,446958480,0.009455
29,0.7250,0.6038,446958480,0.009436
30,0.7293,0.6161,446958480,0.009417
31,0.7350,0.5506,446958480,0.009398
32,0.7398,0.6598,446958480,0.009379
33,0.7442,0.5600,446958480,0.009361
34,0.7428,0.5688,446958480,0.009342
35,0.7481,0.6447,446958480,0.009323
36,0.7545,0.5007,446958480,0.009305
37,0.7592,0.5309,446958480,0.009286
38,0.7592,0.5705,446958480,0.009267
39,0.7627,0.4905,446958480,0.009249
40,0.7737,0.4286,446958480,0.009230
41,0.7737,0.5028,446958480,0.009212
42,0.7716,0.4544,446958480,0.009194
43,0.7679,0.4998,446958480,0.009175
44,0.7787,0.4347,446958480,0.009157
45,0.7837,0.4349,446958480,0.009138
46,0.7914,0.4259,446958480,0.009120
47,0.7945,0.3527,446958480,0.009102
48,0.8013,0.4400,446958480,0.009084
49,0.8052,0.3339,446958480,0.009066
50,0.8037,0.3696,446958480,0.009047
51,0.8104,0.3196,446958480,0.009029
52,0.8082,0.3421,446958480,0.009011
53,0.8123,0.2740,446958480,0.008993
54,0.8093,0.4013,446958480,0.008975
55,0.8214,0.3171,446958480,0.008957
56,0.8223,0.2925,446958480,0.008939
57,0.8140,0.3114,446958480,0.008922
