round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.1173,1.0330,446958480,0.010000
1,0.1501,1.5171,446958480,0.009980
2,0.1332,1.0105,446958480,0.009960
3,0.2189,1.3181,446958480,0.009940
4,0.2027,1.1234,446958480,0.009920
5,0.1000,1.1792,446958480,0.009900
6,0.1535,1.0263,446958480,0.009881
7,0.2147,0.9795,446958480,0.009861
8,0.1493,1.0901,446958480,0.009841
9,0.1962,0.8674,446958480,0.009821
10,0.2553,0.7950,446958480,0.009802
11,0.1906,1.1418,446958480,0.009782
12,0.1511,0.6905,446958480,0.009763
13,0.1359,1.1325,446958480,0.009743
14,0.2288,1.0401,446958480,0.009724
15,0.3250,0.9257,446958480,0.009704
16,0.2478,1.0154,446958480,0.009685
17,0.3601,0.8214,446958480,0.009665
18,0.2600,1.9103,446958480,0.009646
19,0.2427,1.0511,446958480,0.009627
20,0.2827,0.7231,446958480,0.009608
21,0.3528,0.8368,446958480,0.009588
22,0.1522,1.0953,446958480,0.009569
23,0.3042,0.5322,446958480,0.009550
24,0.3580,0.8090,446958480,0.009531
25,0.3454,0.6519,446958480,0.009512
26,0.1988,1.1464,446958480,0.009493
27,0.2759,0.9897,446958480,0.009474
28,0.2900,0.7374,446958480,0.009455
29,0.3744,0.8085,446958480,0.009436
30,0.2895,0.7349,446958480,0.009417
31,0.2796,0.7373,446958480,0.009398
32,0.3509,0.5970,446958480,0.009379
33,0.3045,0.5365,446958480,0.009361
34,0.3716,0.6770,446958480,0.009342
35,0.3426,0.6262,446958480,0.009323
36,0.2694,0.6679,446958480,0.009305
37,0.3034,0.5710,446958480,0.009286
38,0.4126,0.8899,446958480,0.009267
39,0.3696,0.6390,446958480,0.009249
40,0.2761,0.8158,446958480,0.009230
41,0.3311,0.5899,446958480,0.009212
42,0.3644,0.7311,446958480,0.009194
43,0.3712,0.9850,446958480,0.009175
44,0.3386,0.6798,446958480,0.009157
45,0.3219,0.8181,446958480,0.009138
46,0.3614,0.6051,446958480,0.009120
47,0.4168,0.7199,446958480,0.009102
48,0.4667,0.7720,446958480,0.009084
49,0.3066,0.5651,446958480,0.009066
50,0.3725,0.6818,446958480,0.009047
51,0.2290,0.5831,446958480,0.009029
52,0.3749,1.1162,446958480,0.009011
53,0.3442,0.8455,446958480,0.008993
54,0.3955,0.9452,446958480,0.008975
55,0.4743,0.6319,446958480,0.008957
56,0.2552,0.3548,446958480,0.008939
57,0.4729,0.8592,446958480,0.008922
58,0.4695,0.5775,446958480,0.008904
59,0.4163,0.4980,446958480,0.008886
60,0.4635,0.5690,446958480,0.008868
61,0.5069,0.9378,446958480,0.008850
62,0.5098,0.5057,446958480,0.008833
63,0.5150,0.5889,446958480,0.008815
64,0.4786,0.6068,446958480,0.008797
65,0.4702,0.6236,446958480,0.008780
66,0.4934,0.4575,446958480,0.008762
67,0.3670,0.5085,446958480,0.008745
68,0.3369,0.5371,446958480,0.008727
69,0.4784,0.8429,446958480,0.008710
70,0.4405,0.6360,446958480,0.008692
71,0.5126,0.6095,446958480,0.008675
72,0.1975,0.7053,446958480,0.008658
73,0.4795,0.8856,446958480,0.008640
74,0.3228,0.9328,446958480,0.008623
75,0.4607,0.4987,446958480,0.008606
76,0.2747,0.7859,446958480,0.008589
77,0.4991,1.2421,446958480,0.008571
78,0.5705,0.5335,446958480,0.008554
79,0.4127,0.5885,446958480,0.008537
80,0.5170,0.8430,446958480,0.008520
81,0.3883,0.7816,446958480,0.008503
82,0.5049,0.7753,446958480,0.008486
83,0.4406,1.1964,446958480,0.008469
84,0.4499,0.6339,446958480,0.008452
85,0.5284,0.6144,446958480,0.008435
86,0.5361,0.5512,446958480,0.008418
87,0.4497,1.6641,446958480,0.008402
88,0.3034,0.7567,446958480,0.008385
89,0.5508,0.6468,446958480,0.008368
90,0.4994,0.8635,446958480,0.008351
91,0.4359,0.7000,446958480,0.008334
92,0.5422,0.7971,446958480,0.008318
93,0.5991,0.6862,446958480,0.008301
94,0.3286,0.3963,446958480,0.008285
95,0.3482,1.6279,446958480,0.008268
96,0.4754,0.6464,446958480,0.008251
97,0.4727,0.7234,446958480,0.008235
98,0.5891,0.5940,446958480,0.008219
99,0.4551,0.3938,446958480,0.008202
100,0.4586,0.9031,446958480,0.008186
101,0.5452,0.4657,446958480,0.008169
102,0.4828,0.5417,446958480,0.008153
103,0.4789,0.5808,446958480,0.008137
104,0.5437,0.4022,446958480,0.008120
105,0.6309,0.6073,446958480,0.008104
106,0.4524,0.4835,446958480,0.008088
107,0.6558,0.5200,446958480,0.008072
108,0.5123,0.4873,446958480,0.008056
109,0.5625,0.3999,446958480,0.008039
110,0.5461,0.5992,446958480,0.008023
111,0.5739,0.6644,446958480,0.008007
112,0.5670,0.5250,446958480,0.007991
113,0.5377,0.4068,446958480,0.007975
114,0.5958,0.6027,446958480,0.007959
115,0.5236,0.5099,446958480,0.007944
116,0.6331,0.4105,446958480,0.007928
117,0.6229,0.8167,446958480,0.007912
118,0.5705,0.8567,446958480,0.007896
119,0.5643,0.6219,446958480,0.007880
120,0.5619,0.4179,446958480,0.007864
121,0.4306,0.8802,446958480,0.007849
122,0.5962,0.7660,446958480,0.007833
123,0.4782,0.5281,446958480,0.007817
124,0.5552,0.8083,446958480,0.007802
125,0.4819,1.1392,446958480,0.007786
126,0.5127,0.5357,446958480,0.007770
127,0.5342,0.4980,446958480,0.007755
128,0.6345,0.5602,446958480,0.007739
129,0.6354,0.3550,446958480,0.007724
130,0.5476,0.5526,446958480,0.007709
131,0.4699,0.6218,446958480,0.007693
132,0.5286,0.5965,446958480,0.007678
133,0.4977,0.4515,446958480,0.007662
134,0.6578,0.5143,446958480,0.007647
135,0.5749,0.4849,446958480,0.007632
136,0.5853,0.3455,446958480,0.007616
137,0.7250,0.7304,446958480,0.007601
138,0.6378,0.5057,446958480,0.007586
139,0.6664,0.3643,446958480,0.007571
140,0.6749,0.2844,446958480,0.007556
141,0.6470,0.2024,446958480,0.007541
142,0.5162,0.4598,446958480,0.007526
143,0.4245,0.3398,446958480,0.007510
144,0.6337,0.6925,446958480,0.007495
145,0.6665,0.4967,446958480,0.007480
146,0.4771,0.7096,446958480,0.007466
147,0.4709,0.3995,446958480,0.007451
148,0.5359,0.5255,446958480,0.007436
149,0.5549,0.7772,446958480,0.007421
150,0.5131,0.5378,446958480,0.007406
151,0.6455,0.3393,446958480,0.007391
152,0.5366,0.2710,446958480,0.007376
153,0.6215,0.4396,446958480,0.007362
154,0.5747,0.4060,446958480,0.007347
155,0.7435,0.5413,446958480,0.007332
156,0.6919,0.2793,446958480,0.007318
157,0.5207,0.2748,446958480,0.007303
158,0.5169,0.2545,446958480,0.007288
159,0.5792,0.7316,446958480,0.007274
160,0.5092,0.2969,446958480,0.007259
161,0.6500,0.2971,446958480,0.007245
162,0.3741,0.6041,446958480,0.007230
163,0.5498,0.6556,446958480,0.007216
164,0.5019,0.7365,446958480,0.007201
165,0.6323,0.5284,446958480,0.007187
166,0.5266,0.4408,446958480,0.007172
167,0.6546,0.5547,446958480,0.007158
168,0.5831,0.8957,446958480,0.007144
169,0.6590,0.5619,446958480,0.007130
170,0.5753,0.3588,446958480,0.007115
171,0.5092,0.6241,446958480,0.007101
172,0.5988,0.3795,446958480,0.007087
173,0.6360,0.5148,446958480,0.007073
174,0.6711,0.6332,446958480,0.007059
175,0.7173,0.5122,446958480,0.007044
176,0.5651,0.4468,446958480,0.007030
177,0.6321,0.7079,446958480,0.007016
178,0.5794,0.4093,446958480,0.007002
179,0.6950,0.4520,446958480,0.006988
180,0.6714,0.4401,446958480,0.006974
181,0.6226,0.3515,446958480,0.006960
182,0.6474,0.4800,446958480,0.006946
183,0.7169,0.3509,446958480,0.006932
184,0.6579,0.6140,446958480,0.006919
185,0.6301,0.4513,446958480,0.006905
186,0.6846,0.5058,446958480,0.006891
187,0.7490,0.2608,446958480,0.006877
188,0.6129,0.3118,446958480,0.006863
189,0.6813,0.2892,446958480,0.006850
190,0.5760,0.6796,446958480,0.006836
191,0.6434,0.4707,446958480,0.006822
192,0.6305,0.5102,446958480,0.006809
193,0.5386,0.3250,446958480,0.006795
194,0.5967,0.5190,446958480,0.006781
195,0.6903,0.5164,446958480,0.006768
196,0.6613,0.2584,446958480,0.006754
197,0.7490,0.3042,446958480,0.006741
198,0.6373,0.2353,446958480,0.006727
199,0.6391,0.4828,446958480,0.006714
200,0.7038,0.5194,446958480,0.006701
201,0.7263,0.2558,446958480,0.006687
202,0.6941,0.3592,446958480,0.006674
203,0.5745,0.5610,446958480,0.006660
204,0.6335,0.2780,446958480,0.006647
205,0.6563,0.3115,446958480,0.006634
206,0.6080,0.4324,446958480,0.006621
207,0.5194,0.4348,446958480,0.006607
208,0.6413,0.3171,446958480,0.006594
209,0.7581,0.5677,446958480,0.006581
210,0.6120,0.2475,446958480,0.006568
211,0.7757,0.3715,446958480,0.006555
212,0.6827,0.3172,446958480,0.006541
213,0.7093,0.2934,446958480,0.006528
214,0.6230,0.3077,446958480,0.006515
215,0.7210,0.3960,446958480,0.006502
216,0.6840,0.2267,446958480,0.006489
217,0.7249,0.2770,446958480,0.006476
218,0.6902,0.2207,446958480,0.006463
219,0.7279,0.2569,446958480,0.006450
220,0.5563,0.2794,446958480,0.006438
221,0.5766,0.3780,446958480,0.006425
