round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
268,0.7300,0.2678,446958480,0.005848,0,2,3,5,0,1.0297,1.2876,3,interp0,1,1
269,0.7035,0.2366,446958480,0.005836,0,0,3,5,2,1.0297,1.2876,3,interp0,1,1
270,0.7226,0.2498,446958480,0.005824,0,1,5,0,4,0.9433,1.2876,2,topk,1,1
271,0.7361,0.2251,446958480,0.005813,2,1,5,0,2,1.2206,1.2876,2,topk,1,1
272,0.6378,0.2794,446958480,0.005801,0,3,2,0,5,1.0297,1.2876,4,interp1,1,1
273,0.7340,0.3125,446958480,0.005789,0,3,4,0,3,1.0889,1.2876,2,topk,1,1
274,0.6633,0.3972,446958480,0.005778,1,3,4,0,2,1.2799,1.2876,2,topk,1,1
275,0.7623,0.1922,446958480,0.005766,5,0,2,3,0,1.0297,1.2876,0,stab,1,1
276,0.7051,0.2266,446958480,0.005755,1,0,6,2,1,1.0889,1.2876,2,topk,1,1
277,0.7163,0.3007,446958480,0.005743,0,4,5,0,1,0.9433,1.2876,2,topk,1,1
278,0.6365,0.2316,446958480,0.005732,0,0,3,5,2,1.0297,1.2876,3,interp0,1,1
279,0.7198,0.2088,446958480,0.005720,0,5,3,0,2,1.0297,1.2876,1,used,1,1
280,0.6698,0.2293,446958480,0.005709,0,3,6,1,0,0.8979,1.2876,2,topk,1,1
281,0.6984,0.3107,446958480,0.005697,0,0,3,4,3,1.0889,1.2876,3,interp0,1,1
282,0.7525,0.1269,446958480,0.005686,1,0,7,1,1,0.9404,1.2876,2,topk,1,1
283,0.6098,0.2459,446958480,0.005675,0,3,2,1,4,1.2799,1.2876,4,interp1,1,1
284,0.6555,0.1995,446958480,0.005663,1,3,2,3,1,1.5048,1.2876,1,used,1,0
285,0.6679,0.1948,446958480,0.005652,0,0,5,3,2,1.0297,1.2876,2,topk,1,1
286,0.6299,0.3333,446958480,0.005641,0,1,2,4,3,1.2799,1.2876,3,interp0,1,1
287,0.7191,0.3533,446958480,0.005629,0,3,5,0,2,1.0297,1.2876,2,topk,1,1
288,0.7413,0.1986,446958480,0.005618,0,0,5,2,3,1.0297,1.2876,2,topk,1,1
289,0.6842,0.3235,446958480,0.005607,2,0,1,5,2,1.2206,1.2876,3,interp0,1,1
290,0.7245,0.3291,446958480,0.005596,0,4,5,0,1,0.9433,1.2876,2,topk,1,1
291,0.6335,0.3561,446958480,0.005585,0,3,2,5,0,1.0297,1.2876,3,interp0,1,1
292,0.6165,0.1752,446958480,0.005573,0,1,4,3,2,1.2799,1.2876,2,topk,1,1
293,0.7239,0.2137,446958480,0.005562,2,0,4,2,2,1.3322,1.2876,2,topk,1,0
294,0.7465,0.3555,446958480,0.005551,1,0,5,4,0,0.9433,1.2876,2,topk,1,1
295,0.7350,0.1908,446958480,0.005540,0,3,5,2,0,1.0297,1.2876,2,topk,1,1
296,0.7248,0.2538,446958480,0.005529,0,0,4,6,0,0.6730,1.2876,3,interp0,1,1
297,0.7045,0.1917,446958480,0.005518,0,0,5,5,0,0.6931,1.2876,2,topk,1,1
298,0.7592,0.2481,446958480,0.005507,0,0,6,0,4,0.6730,1.2876,2,topk,1,1
299,0.6336,0.2888,446958480,0.005496,0,0,5,5,0,0.6931,1.2876,2,topk,1,1
300,0.6674,0.2565,446958480,0.005485,2,0,8,0,0,0.5004,1.2876,2,topk,1,1
301,0.7367,0.2796,446958480,0.005474,0,0,3,1,6,0.8979,1.2876,4,interp1,1,1
302,0.6066,0.3695,446958480,0.005463,0,0,5,2,3,1.0297,1.2876,2,topk,1,1
303,0.7229,0.2079,446958480,0.005452,0,0,4,4,2,1.0549,1.2876,2,topk,1,1
304,0.6958,0.2800,446958480,0.005441,0,0,6,0,4,0.6730,1.2876,2,topk,1,1
305,0.7643,0.2851,446958480,0.005430,0,0,6,4,0,0.6730,1.2876,2,topk,1,1
306,0.5925,0.2839,446958480,0.005419,0,0,6,0,4,0.6730,1.2876,2,topk,1,1
307,0.6231,0.1679,446958480,0.005408,0,1,4,5,0,0.9433,1.2876,3,interp0,1,1
308,0.7399,0.2293,446958480,0.005398,0,0,3,1,6,0.8979,1.2876,4,interp1,1,1
309,0.7443,0.2293,446958480,0.005387,0,4,5,0,1,0.9433,1.2876,2,topk,1,1
310,0.7093,0.2663,446958480,0.005376,0,0,3,3,4,1.0889,1.2876,4,interp1,1,1
311,0.7434,0.2256,446958480,0.005365,3,2,5,0,0,1.0297,1.2876,2,topk,1,1
312,0.6775,0.3966,446958480,0.005355,2,3,3,0,2,1.3662,1.2876,1,used,1,0
313,0.7402,0.3852,446958480,0.005344,0,5,2,1,2,1.2206,1.2876,1,used,1,1
314,0.7448,0.1932,446958480,0.005333,0,1,4,2,3,1.2799,1.2876,2,topk,1,1
315,0.7455,0.1815,446958480,0.005323,1,1,6,2,0,1.0889,1.2876,2,topk,1,1
316,0.7608,0.2576,446958480,0.005312,0,1,5,0,4,0.9433,1.2876,2,topk,1,1
317,0.7539,0.1710,446958480,0.005301,0,0,6,1,3,0.8979,1.2876,2,topk,1,1
318,0.7358,0.1453,446958480,0.005291,1,2,4,2,1,1.4708,1.2876,2,topk,1,0
319,0.7524,0.1573,446958480,0.005280,0,1,6,3,0,0.8979,1.2876,2,topk,1,1
320,0.7522,0.2987,446958480,0.005270,0,2,6,1,1,1.0889,1.2876,2,topk,1,1
321,0.6850,0.2022,446958480,0.005259,0,0,7,2,1,0.8018,1.2876,2,topk,1,1
322,0.6628,0.1736,446958480,0.005248,0,0,3,1,6,0.8979,1.2876,4,interp1,1,1
323,0.6311,0.3294,446958480,0.005238,0,2,4,0,4,1.0549,1.2876,2,topk,1,1
324,0.7334,0.1678,446958480,0.005228,3,1,4,2,0,1.2799,1.2876,2,topk,1,1
325,0.7685,0.1967,446958480,0.005217,0,1,6,0,3,0.8979,1.2876,2,topk,1,1
326,0.7295,0.1581,446958480,0.005207,0,2,7,0,1,0.8018,1.2876,2,topk,1,1
327,0.7765,0.3791,446958480,0.005196,0,1,7,0,2,0.8018,1.2876,2,topk,1,1
328,0.7942,0.2318,446958480,0.005186,0,0,1,6,3,0.8979,1.2876,3,interp0,1,1
329,0.6498,0.1671,446958480,0.005175,2,0,1,4,3,1.2799,1.2876,3,interp0,1,1
330,0.7161,0.1775,446958480,0.005165,2,0,3,0,5,1.0297,1.2876,4,interp1,1,1
331,0.7504,0.1608,446958480,0.005155,0,0,6,1,3,0.8979,1.2876,2,topk,1,1
332,0.7592,0.1958,446958480,0.005144,0,4,5,1,0,0.9433,1.2876,2,topk,1,1
333,0.6861,0.1597,446958480,0.005134,0,2,7,0,1,0.8018,1.2876,2,topk,1,1
334,0.7188,0.1462,446958480,0.005124,5,2,1,2,0,1.2206,1.2876,0,stab,1,1
335,0.7496,0.2300,446958480,0.005114,1,0,3,3,3,1.3138,1.2876,2,topk,1,0
