round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
0,0.1861,1.0328,446958480,0.010000,0,3,2,3,2,1.3662,1.2876,1,used,1,0
1,0.2084,0.9034,446958480,0.009980,1,3,0,0,6,0.8979,1.2876,4,interp1,1,1
2,0.1329,0.9310,446958480,0.009960,1,3,0,0,6,0.8979,1.2876,4,interp1,1,1
3,0.2085,1.1136,446958480,0.009940,7,1,1,0,1,0.9404,1.2876,0,stab,1,1
4,0.1837,0.9347,446958480,0.009920,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
5,0.1107,1.0784,446958480,0.009900,0,0,0,3,7,0.6109,1.2876,4,interp1,1,1
6,0.1775,1.3653,446958480,0.009881,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
7,0.1997,1.0303,446958480,0.009861,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
8,0.2077,0.9147,446958480,0.009841,3,5,1,1,0,1.1683,1.2876,1,used,1,1
9,0.2121,0.9259,446958480,0.009821,0,1,5,0,4,0.9433,1.2876,2,topk,1,1
10,0.2440,0.8788,446958480,0.009802,10,0,0,0,0,0.0000,1.2876,0,stab,1,1
11,0.2091,1.0517,446958480,0.009782,4,2,4,0,0,1.0549,1.2876,0,stab,1,1
12,0.1928,0.7443,446958480,0.009763,1,6,2,0,1,1.0889,1.2876,1,used,1,1
13,0.2048,0.8702,446958480,0.009743,2,6,0,1,1,1.0889,1.2876,1,used,1,1
14,0.1686,0.9496,446958480,0.009724,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
15,0.2174,1.0333,446958480,0.009704,4,2,3,0,1,1.2799,1.2876,0,stab,1,1
16,0.2186,1.0882,446958480,0.009685,0,8,0,1,1,0.6390,1.2876,1,used,1,1
17,0.2869,1.0379,446958480,0.009665,4,0,1,3,2,1.2799,1.2876,0,stab,1,1
18,0.2418,1.3822,446958480,0.009646,7,2,0,1,0,0.8018,1.2876,0,stab,1,1
19,0.2651,1.1983,446958480,0.009627,0,0,5,0,5,0.6931,1.2876,2,topk,1,1
20,0.2860,0.8715,446958480,0.009608,0,5,2,3,0,1.0297,1.2876,1,used,1,1
21,0.3357,0.8805,446958480,0.009588,7,0,1,0,2,0.8018,1.2876,0,stab,1,1
22,0.1877,0.7564,446958480,0.009569,0,0,9,0,1,0.3251,1.2876,2,topk,1,1
23,0.3064,0.5043,446958480,0.009550,1,0,1,7,1,0.9404,1.2876,3,interp0,1,1
24,0.2171,0.7848,446958480,0.009531,2,5,2,1,0,1.2206,1.2876,1,used,1,1
25,0.3653,0.7549,446958480,0.009512,0,4,5,0,1,0.9433,1.2876,2,topk,1,1
26,0.2878,0.8547,446958480,0.009493,6,3,0,0,1,0.8979,1.2876,0,stab,1,1
27,0.3760,0.8380,446958480,0.009474,0,9,0,0,1,0.3251,1.2876,1,used,1,1
28,0.3488,0.7124,446958480,0.009455,6,0,2,1,1,1.0889,1.2876,0,stab,1,1
29,0.3546,0.7374,446958480,0.009436,5,4,0,1,0,0.9433,1.2876,0,stab,1,1
30,0.3007,0.6824,446958480,0.009417,4,1,5,0,0,0.9433,1.2876,2,topk,1,1
31,0.3482,0.9062,446958480,0.009398,3,0,5,2,0,1.0297,1.2876,2,topk,1,1
32,0.4252,0.5328,446958480,0.009379,0,0,2,5,3,1.0297,1.2876,3,interp0,1,1
33,0.3673,0.6209,446958480,0.009361,3,4,3,0,0,1.0889,1.2876,1,used,1,1
34,0.3338,0.7683,446958480,0.009342,7,1,2,0,0,0.8018,1.2876,0,stab,1,1
35,0.2687,0.7455,446958480,0.009323,0,9,0,1,0,0.3251,1.2876,1,used,1,1
36,0.2376,0.7962,446958480,0.009305,1,0,0,0,9,0.3251,1.2876,4,interp1,1,1
37,0.2846,0.4879,446958480,0.009286,0,8,0,2,0,0.5004,1.2876,1,used,1,1
38,0.4197,0.8476,446958480,0.009267,4,2,2,2,0,1.3322,1.2876,0,stab,1,0
39,0.2705,0.6306,446958480,0.009249,2,2,4,1,1,1.4708,1.2876,2,topk,1,0
40,0.3425,0.6957,446958480,0.009230,0,1,1,7,1,0.9404,1.2876,3,interp0,1,1
41,0.3430,0.5966,446958480,0.009212,0,8,0,0,2,0.5004,1.2876,1,used,1,1
42,0.3820,0.6852,446958480,0.009194,2,3,2,3,0,1.3662,1.2876,1,used,1,0
43,0.4576,0.7493,446958480,0.009175,1,1,3,3,2,1.5048,1.2876,2,topk,1,0
44,0.3696,0.6808,446958480,0.009157,2,2,0,4,2,1.3322,1.2876,3,interp0,1,0
45,0.3406,0.5838,446958480,0.009138,3,6,0,1,0,0.8979,1.2876,1,used,1,1
46,0.3261,0.4734,446958480,0.009120,0,0,2,5,3,1.0297,1.2876,3,interp0,1,1
