round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
0,0.2531,2.2111,446958480,0.010000,0,5,1,0,4,0.9433,1.2876,1,used,1,1
1,0.3631,1.9606,446958480,0.009980,0,10,0,0,0,0.0000,1.2876,1,used,1,1
2,0.3900,1.7578,446958480,0.009960,4,1,5,0,0,0.9433,1.2876,2,topk,1,1
3,0.4239,1.7153,446958480,0.009940,4,4,1,1,0,1.1935,1.2876,0,stab,1,1
4,0.4570,1.5290,446958480,0.009920,0,0,8,2,0,0.5004,1.2876,2,topk,1,1
5,0.4605,1.5355,446958480,0.009900,0,0,0,9,1,0.3251,1.2876,3,interp0,1,1
6,0.4798,1.4007,446958480,0.009881,0,3,0,3,4,1.0889,1.2876,4,interp1,1,1
7,0.5088,1.3243,446958480,0.009861,0,10,0,0,0,0.0000,1.2876,1,used,1,1
8,0.5197,1.2973,446958480,0.009841,6,3,1,0,0,0.8979,1.2876,0,stab,1,1
9,0.5296,1.3093,446958480,0.009821,0,10,0,0,0,0.0000,1.2876,1,used,1,1
10,0.5528,1.1804,446958480,0.009802,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
11,0.5543,1.1419,446958480,0.009782,7,3,0,0,0,0.6109,1.2876,0,stab,1,1
12,0.5740,1.0848,446958480,0.009763,1,3,0,0,6,0.8979,1.2876,4,interp1,1,1
13,0.5863,1.0863,446958480,0.009743,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
14,0.5964,0.9989,446958480,0.009724,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
15,0.5987,1.0629,446958480,0.009704,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
16,0.6129,0.9448,446958480,0.009685,8,1,1,0,0,0.6390,1.2876,0,stab,1,1
17,0.6198,0.9862,446958480,0.009665,0,0,1,0,9,0.3251,1.2876,4,interp1,1,1
18,0.6269,0.9186,446958480,0.009646,0,10,0,0,0,0.0000,1.2876,1,used,1,1
19,0.6283,0.9847,446958480,0.009627,6,2,2,0,0,0.9503,1.2876,0,stab,1,1
20,0.6456,0.8228,446958480,0.009608,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
21,0.6568,0.8141,446958480,0.009588,6,2,2,0,0,0.9503,1.2876,0,stab,1,1
22,0.6529,0.8054,446958480,0.009569,0,0,1,9,0,0.3251,1.2876,3,interp0,1,1
23,0.6378,0.9363,446958480,0.009550,0,6,0,0,4,0.6730,1.2876,1,used,1,1
24,0.6612,0.7795,446958480,0.009531,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
25,0.6612,0.7668,446958480,0.009512,6,0,4,0,0,0.6730,1.2876,0,stab,1,1
26,0.6712,0.7456,446958480,0.009493,0,0,0,9,1,0.3251,1.2876,3,interp0,1,1
27,0.6854,0.6705,446958480,0.009474,1,0,9,0,0,0.3251,1.2876,2,topk,1,1
28,0.6855,0.7031,446958480,0.009455,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
29,0.6972,0.6659,446958480,0.009436,2,2,2,1,3,1.5571,1.2876,4,interp1,1,0
30,0.6849,0.7641,446958480,0.009417,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
31,0.7031,0.6220,446958480,0.009398,0,0,0,2,8,0.5004,1.2876,4,interp1,1,1
32,0.6959,0.7687,446958480,0.009379,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
33,0.7102,0.6896,446958480,0.009361,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
34,0.7110,0.6422,446958480,0.009342,6,1,3,0,0,0.8979,1.2876,0,stab,1,1
35,0.7126,0.7102,446958480,0.009323,4,0,2,4,0,1.0549,1.2876,0,stab,1,1
36,0.7211,0.5575,446958480,0.009305,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
37,0.7298,0.5580,446958480,0.009286,0,0,0,2,8,0.5004,1.2876,4,interp1,1,1
38,0.7212,0.6007,446958480,0.009267,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
39,0.7276,0.5603,446958480,0.009249,4,3,3,0,0,1.0889,1.2876,0,stab,1,1
40,0.7361,0.5236,446958480,0.009230,0,0,2,8,0,0.5004,1.2876,3,interp0,1,1
41,0.7390,0.5824,446958480,0.009212,5,0,5,0,0,0.6931,1.2876,0,stab,1,1
42,0.7292,0.5223,446958480,0.009194,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
43,0.7280,0.5347,446958480,0.009175,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
44,0.7395,0.5077,446958480,0.009157,0,2,3,1,4,1.2799,1.2876,4,interp1,1,1
45,0.7461,0.5384,446958480,0.009138,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
46,0.7474,0.5145,446958480,0.009120,5,4,1,0,0,0.9433,1.2876,0,stab,1,1
47,0.7490,0.4712,446958480,0.009102,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
48,0.7410,0.5510,446958480,0.009084,7,2,1,0,0,0.8018,1.2876,0,stab,1,1
49,0.7553,0.4399,446958480,0.009066,0,5,5,0,0,0.6931,1.2876,1,used,1,1
50,0.7635,0.4767,446958480,0.009047,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
51,0.7652,0.4191,446958480,0.009029,1,1,0,5,3,1.1683,1.2876,3,interp0,1,1
52,0.7674,0.4449,446958480,0.009011,0,10,0,0,0,0.0000,1.2876,1,used,1,1
53,0.7676,0.3845,446958480,0.008993,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
54,0.7661,0.4753,446958480,0.008975,5,3,2,0,0,1.0297,1.2876,0,stab,1,1
55,0.7683,0.4322,446958480,0.008957,0,0,2,8,0,0.5004,1.2876,3,interp0,1,1
56,0.7729,0.4223,446958480,0.008939,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
57,0.7702,0.4653,446958480,0.008922,8,1,1,0,0,0.6390,1.2876,0,stab,1,1
58,0.7719,0.4418,446958480,0.008904,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
59,0.7778,0.3608,446958480,0.008886,6,2,2,0,0,0.9503,1.2876,0,stab,1,1
60,0.7731,0.4595,446958480,0.008868,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
61,0.7724,0.4591,446958480,0.008850,2,4,4,0,0,1.0549,1.2876,1,used,1,1
62,0.7799,0.4147,446958480,0.008833,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
63,0.7875,0.3526,446958480,0.008815,6,0,1,0,3,0.8979,1.2876,0,stab,1,1
64,0.7728,0.4045,446958480,0.008797,2,5,0,3,0,1.0297,1.2876,1,used,1,1
65,0.7936,0.3697,446958480,0.008780,0,0,1,6,3,0.8979,1.2876,3,interp0,1,1
66,0.7904,0.3405,446958480,0.008762,0,3,0,7,0,0.6109,1.2876,3,interp0,1,1
67,0.7960,0.4217,446958480,0.008745,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
68,0.7905,0.3548,446958480,0.008727,5,3,2,0,0,1.0297,1.2876,0,stab,1,1
69,0.7975,0.3435,446958480,0.008710,9,0,1,0,0,0.3251,1.2876,0,stab,1,1
70,0.7976,0.3625,446958480,0.008692,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
71,0.7944,0.3270,446958480,0.008675,7,1,2,0,0,0.8018,1.2876,0,stab,1,1
72,0.7912,0.3997,446958480,0.008658,0,9,0,1,0,0.3251,1.2876,1,used,1,1
73,0.7961,0.3582,446958480,0.008640,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
74,0.7970,0.2883,446958480,0.008623,8,1,1,0,0,0.6390,1.2876,0,stab,1,1
75,0.8002,0.3194,446958480,0.008606,0,0,1,4,5,0.9433,1.2876,4,interp1,1,1
76,0.8016,0.3064,446958480,0.008589,2,7,0,1,0,0.8018,1.2876,1,used,1,1
77,0.7933,0.3179,446958480,0.008571,0,0,4,6,0,0.6730,1.2876,3,interp0,1,1
78,0.7957,0.3711,446958480,0.008554,2,2,3,2,1,1.5571,1.2876,2,topk,1,0
79,0.7963,0.3478,446958480,0.008537,0,0,1,0,9,0.3251,1.2876,4,interp1,1,1
80,0.8011,0.3033,446958480,0.008520,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
