round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.2749,2.2147,446958480,0.010000
1,0.3581,1.9436,446958480,0.009980
2,0.3960,1.7412,446958480,0.009960
3,0.4224,1.7106,446958480,0.009940
4,0.4569,1.5281,446958480,0.009920
5,0.4629,1.5250,446958480,0.009900
6,0.4915,1.4338,446958480,0.009881
7,0.5056,1.3294,446958480,0.009861
8,0.5120,1.3268,446958480,0.009841
9,0.5156,1.3169,446958480,0.009821
10,0.5486,1.1758,446958480,0.009802
11,0.5498,1.1480,446958480,0.009782
12,0.5707,1.0979,446958480,0.009763
13,0.5911,1.1410,446958480,0.009743
14,0.5972,1.0171,446958480,0.009724
15,0.6061,1.0264,446958480,0.009704
16,0.6264,0.9404,446958480,0.009685
17,0.6258,0.9382,446958480,0.009665
18,0.6354,0.8885,446958480,0.009646
19,0.6408,0.9628,446958480,0.009627
20,0.6553,0.7969,446958480,0.009608
21,0.6523,0.8167,446958480,0.009588
22,0.6630,0.7967,446958480,0.009569
23,0.6549,0.8686,446958480,0.009550
24,0.6727,0.7537,446958480,0.009531
25,0.6645,0.7717,446958480,0.009512
26,0.6738,0.7087,446958480,0.009493
27,0.6974,0.6730,446958480,0.009474
28,0.6990,0.6693,446958480,0.009455
29,0.7034,0.6594,446958480,0.009436
30,0.7072,0.6676,446958480,0.009417
31,0.7170,0.5801,446958480,0.009398
32,0.7126,0.7420,446958480,0.009379
33,0.7174,0.6319,446958480,0.009361
34,0.7253,0.5932,446958480,0.009342
35,0.7229,0.6478,446958480,0.009323
36,0.7318,0.5460,446958480,0.009305
37,0.7369,0.5240,446958480,0.009286
38,0.7343,0.5881,446958480,0.009267
39,0.7468,0.5055,446958480,0.009249
40,0.7490,0.4950,446958480,0.009230
41,0.7506,0.5520,446958480,0.009212
42,0.7505,0.4799,446958480,0.009194
43,0.7487,0.5093,446958480,0.009175
44,0.7551,0.4678,446958480,0.009157
45,0.7606,0.4859,446958480,0.009138
46,0.7679,0.4634,446958480,0.009120
47,0.7655,0.4124,446958480,0.009102
48,0.7603,0.5246,446958480,0.009084
49,0.7746,0.4098,446958480,0.009066
50,0.7704,0.4444,446958480,0.009047
51,0.7806,0.3950,446958480,0.009029
52,0.7783,0.4232,446958480,0.009011
53,0.7782,0.3572,446958480,0.008993
54,0.7681,0.4652,446958480,0.008975
55,0.7831,0.4250,446958480,0.008957
56,0.7854,0.3871,446958480,0.008939
57,0.7787,0.4114,446958480,0.008922
58,0.7832,0.3867,446958480,0.008904
59,0.7845,0.3484,446958480,0.008886
60,0.7864,0.4152,446958480,0.008868
61,0.8018,0.3880,446958480,0.008850
62,0.7952,0.3675,446958480,0.008833
63,0.7938,0.3893,446958480,0.008815
64,0.7948,0.3738,446958480,0.008797
65,0.7978,0.3610,446958480,0.008780
66,0.7976,0.2914,446958480,0.008762
67,0.7951,0.3811,446958480,0.008745
68,0.7905,0.3245,446958480,0.008727
69,0.8015,0.3284,446958480,0.008710
70,0.8022,0.3451,446958480,0.008692
71,0.8054,0.3215,446958480,0.008675
72,0.8069,0.3571,446958480,0.008658
73,0.8110,0.3567,446958480,0.008640
74,0.8095,0.2721,446958480,0.008623
75,0.8159,0.2664,446958480,0.008606
76,0.8119,0.2594,446958480,0.008589
