round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,usage_interp2,usage_interp3,usage_orth0,usage_seed0,usage_seed1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
508,0.7261,0.1928,446958480,0.003617,0,0,0,0,4,0,2,2,0,2,1.3322,1.8421,4,interp1,1,1
509,0.6602,0.1257,446958480,0.003609,0,0,0,0,0,3,0,0,7,0,0.6109,1.8421,8,seed0,1,1
510,0.7446,0.3690,446958480,0.003602,0,0,0,0,0,2,0,2,4,2,1.3322,1.8421,8,seed0,1,1
511,0.4475,0.4093,446958480,0.003595,0,0,0,0,2,0,0,6,0,2,0.9503,1.8421,7,orth0,1,1
512,0.6621,0.4419,446958480,0.003588,0,0,0,1,0,1,0,5,2,1,1.3592,1.8421,7,orth0,1,1
513,0.7334,0.1707,446958480,0.003581,1,0,2,0,0,2,4,1,0,0,1.4708,1.8421,6,interp3,1,1
514,0.7054,0.2505,446958480,0.003574,0,0,1,2,0,0,3,3,1,0,1.5048,1.8421,6,interp3,1,1
515,0.7780,0.1464,446958480,0.003566,0,0,0,0,2,3,2,0,3,0,1.3662,1.8421,5,interp2,1,1
516,0.7739,0.2285,446958480,0.003559,0,0,0,1,3,0,4,0,2,0,1.2799,1.8421,6,interp3,1,1
517,0.7434,0.1494,446958480,0.003552,0,0,0,0,0,1,2,0,3,4,1.2799,1.8421,9,seed1,1,1
518,0.7595,0.1115,446958480,0.003545,0,0,0,6,0,0,1,0,2,1,1.0889,1.8421,3,interp0,1,1
519,0.7318,0.2095,446958480,0.003538,0,2,2,0,0,0,1,2,0,3,1.5571,1.8421,9,seed1,1,1
520,0.7906,0.1577,446958480,0.003531,0,0,0,0,3,0,3,0,3,1,1.3138,1.8421,4,interp1,1,1
521,0.7790,0.1279,446958480,0.003524,0,0,0,1,2,0,2,2,3,0,1.5571,1.8421,8,seed0,1,1
522,0.8178,0.1027,446958480,0.003517,0,0,0,1,1,1,3,0,1,3,1.6434,1.8421,6,interp3,1,1
523,0.8522,0.1158,446958480,0.003510,0,0,0,1,1,0,3,3,1,1,1.6434,1.8421,6,interp3,1,1
524,0.7956,0.0778,446958480,0.003503,0,0,1,0,6,1,0,1,0,1,1.2275,1.8421,4,interp1,1,1
525,0.8001,0.0673,446958480,0.003496,0,0,2,0,0,3,0,0,1,4,1.2799,1.8421,9,seed1,1,1
526,0.8223,0.1823,446958480,0.003489,0,0,0,0,2,2,2,1,2,1,1.7481,1.8421,4,interp1,1,1
527,0.8177,0.1388,446958480,0.003482,0,4,0,1,0,1,0,0,2,2,1.4708,1.8421,1,used,1,1
528,0.7380,0.1009,446958480,0.003475,0,0,2,1,0,0,1,2,4,0,1.4708,1.8421,8,seed0,1,1
529,0.7432,0.2108,446958480,0.003468,1,0,0,0,0,1,2,4,0,2,1.4708,1.8421,7,orth0,1,1
530,0.7893,0.1539,446958480,0.003461,0,1,2,0,0,0,0,3,0,4,1.2799,1.8421,9,seed1,1,1
531,0.8227,0.1477,446958480,0.003454,0,0,0,2,1,0,0,4,1,2,1.4708,1.8421,7,orth0,1,1
532,0.7867,0.0486,446958480,0.003447,0,0,0,2,1,0,3,1,2,1,1.6957,1.8421,6,interp3,1,1
533,0.8050,0.1440,446958480,0.003440,0,1,0,0,0,3,3,0,3,0,1.3138,1.8421,5,interp2,1,1
534,0.8027,0.1006,446958480,0.003433,0,0,0,2,2,2,3,1,0,0,1.5571,1.8421,6,interp3,1,1
535,0.7479,0.1306,446958480,0.003426,0,0,0,1,1,0,4,1,0,3,1.4185,1.8421,6,interp3,1,1
536,0.8020,0.1020,446958480,0.003420,0,0,0,2,4,1,0,0,3,0,1.2799,1.8421,4,interp1,1,1
537,0.7904,0.1535,446958480,0.003413,0,0,0,3,4,0,0,0,2,1,1.2799,1.8421,4,interp1,1,1
538,0.7896,0.1531,446958480,0.003406,0,3,0,4,0,0,0,0,2,1,1.2799,1.8421,3,interp0,1,1
539,0.7107,0.2454,446958480,0.003399,0,0,0,0,2,2,0,0,5,1,1.2206,1.8421,8,seed0,1,1
540,0.7940,0.3111,446958480,0.003392,0,1,0,0,0,1,2,0,2,4,1.4708,1.8421,9,seed1,1,1
541,0.8537,0.2026,446958480,0.003386,0,0,0,1,2,3,2,0,2,0,1.5571,1.8421,5,interp2,1,1
542,0.8097,0.1080,446958480,0.003379,0,0,0,3,1,4,0,2,0,0,1.2799,1.8421,5,interp2,1,1
