round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
0,0.1733,1.0416,446958480,0.010000,1,3,3,1,2,1.5048,1.2876,1,used,1,0
1,0.1149,1.4104,446958480,0.009980,2,1,0,0,7,0.8018,1.2876,4,interp1,1,1
2,0.1068,1.0770,446958480,0.009960,0,4,0,0,6,0.6730,1.2876,4,interp1,1,1
3,0.1343,1.7232,446958480,0.009940,0,1,1,0,8,0.6390,1.2876,4,interp1,1,1
4,0.1931,1.1221,446958480,0.009920,0,4,6,0,0,0.6730,1.2876,2,topk,1,1
5,0.1000,1.2644,446958480,0.009900,2,0,7,1,0,0.8018,1.2876,2,topk,1,1
6,0.1302,1.0672,446958480,0.009881,0,2,7,0,1,0.8018,1.2876,2,topk,1,1
7,0.2115,1.1599,446958480,0.009861,3,6,1,0,0,0.8979,1.2876,1,used,1,1
8,0.2185,0.9877,446958480,0.009841,1,0,7,0,2,0.8018,1.2876,2,topk,1,1
9,0.2155,0.8449,446958480,0.009821,2,5,0,1,2,1.2206,1.2876,1,used,1,1
10,0.2480,0.8792,446958480,0.009802,8,0,2,0,0,0.5004,1.2876,0,stab,1,1
11,0.2491,1.0995,446958480,0.009782,4,3,2,1,0,1.2799,1.2876,0,stab,1,1
12,0.1812,0.8574,446958480,0.009763,1,0,1,0,8,0.6390,1.2876,4,interp1,1,1
13,0.2464,0.9746,446958480,0.009743,5,2,2,0,1,1.2206,1.2876,0,stab,1,1
14,0.2008,1.0490,446958480,0.009724,6,4,0,0,0,0.6730,1.2876,0,stab,1,1
15,0.2169,1.2332,446958480,0.009704,1,0,9,0,0,0.3251,1.2876,2,topk,1,1
16,0.2274,0.9077,446958480,0.009685,0,1,9,0,0,0.3251,1.2876,2,topk,1,1
17,0.3289,0.9410,446958480,0.009665,0,0,2,7,1,0.8018,1.2876,3,interp0,1,1
18,0.2148,1.4100,446958480,0.009646,2,2,6,0,0,0.9503,1.2876,2,topk,1,1
19,0.2552,1.1923,446958480,0.009627,5,1,3,0,1,1.1683,1.2876,0,stab,1,1
20,0.3283,0.7265,446958480,0.009608,3,6,0,0,1,0.8979,1.2876,1,used,1,1
21,0.3499,0.7928,446958480,0.009588,3,3,4,0,0,1.0889,1.2876,2,topk,1,1
22,0.1857,0.7986,446958480,0.009569,4,0,1,0,5,0.9433,1.2876,4,interp1,1,1
23,0.2952,0.6428,446958480,0.009550,0,1,6,0,3,0.8979,1.2876,2,topk,1,1
24,0.2779,0.8884,446958480,0.009531,2,1,2,1,4,1.4708,1.2876,4,interp1,1,0
25,0.3607,0.7413,446958480,0.009512,1,0,0,0,9,0.3251,1.2876,4,interp1,1,1
26,0.2888,0.9028,446958480,0.009493,8,0,2,0,0,0.5004,1.2876,0,stab,1,1
27,0.3188,1.0383,446958480,0.009474,0,1,7,0,2,0.8018,1.2876,2,topk,1,1
28,0.3455,0.7529,446958480,0.009455,1,3,1,4,1,1.4185,1.2876,3,interp0,1,0
29,0.3030,0.8249,446958480,0.009436,8,1,0,1,0,0.6390,1.2876,0,stab,1,1
30,0.3149,0.6924,446958480,0.009417,0,1,0,9,0,0.3251,1.2876,3,interp0,1,1
31,0.3208,0.7878,446958480,0.009398,8,1,0,1,0,0.6390,1.2876,0,stab,1,1
32,0.3559,0.6509,446958480,0.009379,6,0,0,3,1,0.8979,1.2876,0,stab,1,1
33,0.3552,0.6882,446958480,0.009361,1,1,3,4,1,1.4185,1.2876,3,interp0,1,0
34,0.3841,0.8351,446958480,0.009342,1,3,4,2,0,1.2799,1.2876,2,topk,1,1
35,0.3095,0.7129,446958480,0.009323,0,7,0,0,3,0.6109,1.2876,1,used,1,1
36,0.2225,0.8840,446958480,0.009305,7,3,0,0,0,0.6109,1.2876,0,stab,1,1
37,0.2781,0.6925,446958480,0.009286,3,1,4,2,0,1.2799,1.2876,2,topk,1,1
38,0.4092,0.9722,446958480,0.009267,0,10,0,0,0,0.0000,1.2876,1,used,1,1
39,0.2510,0.7181,446958480,0.009249,5,2,3,0,0,1.0297,1.2876,0,stab,1,1
40,0.2795,0.8312,446958480,0.009230,1,0,1,1,7,0.9404,1.2876,4,interp1,1,1
41,0.3474,0.6004,446958480,0.009212,0,7,0,1,2,0.8018,1.2876,1,used,1,1
42,0.3474,0.7950,446958480,0.009194,2,0,8,0,0,0.5004,1.2876,2,topk,1,1
43,0.4097,0.9106,446958480,0.009175,2,4,3,1,0,1.2799,1.2876,1,used,1,1
44,0.3644,0.6815,446958480,0.009157,0,1,1,8,0,0.6390,1.2876,3,interp0,1,1
45,0.4022,0.6420,446958480,0.009138,0,0,3,0,7,0.6109,1.2876,4,interp1,1,1
46,0.2917,0.6339,446958480,0.009120,1,4,3,1,1,1.4185,1.2876,1,used,1,0
47,0.3977,0.6990,446958480,0.009102,0,4,0,2,4,1.0549,1.2876,1,used,1,1
48,0.4075,0.6720,446958480,0.009084,2,0,5,1,2,1.2206,1.2876,2,topk,1,1
49,0.3536,0.6274,446958480,0.009066,0,9,0,0,1,0.3251,1.2876,1,used,1,1
50,0.3983,0.6600,446958480,0.009047,1,5,0,3,1,1.1683,1.2876,1,used,1,1
51,0.3710,0.5747,446958480,0.009029,0,3,4,1,2,1.2799,1.2876,2,topk,1,1
52,0.3341,0.9479,446958480,0.009011,0,0,2,2,6,0.9503,1.2876,4,interp1,1,1
53,0.2713,0.7156,446958480,0.008993,1,3,1,1,4,1.4185,1.2876,4,interp1,1,0
54,0.3147,0.8995,446958480,0.008975,0,1,1,0,8,0.6390,1.2876,4,interp1,1,1
55,0.4676,0.6651,446958480,0.008957,2,1,1,0,6,1.0889,1.2876,4,interp1,1,1
56,0.4486,0.4185,446958480,0.008939,1,2,1,4,2,1.4708,1.2876,3,interp0,1,0
57,0.4933,0.8454,446958480,0.008922,1,2,3,2,2,1.5571,1.2876,2,topk,1,0
58,0.4450,0.5636,446958480,0.008904,6,1,1,2,0,1.0889,1.2876,0,stab,1,1
59,0.4568,0.5742,446958480,0.008886,1,3,3,2,1,1.5048,1.2876,1,used,1,0
60,0.4719,0.5972,446958480,0.008868,2,2,2,2,2,1.6094,1.2876,0,stab,1,0
61,0.4813,1.0349,446958480,0.008850,2,4,2,1,1,1.4708,1.2876,1,used,1,0
62,0.5052,0.5130,446958480,0.008833,1,5,0,2,2,1.2206,1.2876,1,used,1,1
63,0.5023,0.5891,446958480,0.008815,1,4,3,0,2,1.2799,1.2876,1,used,1,1
64,0.5169,0.5801,446958480,0.008797,1,0,6,2,1,1.0889,1.2876,2,topk,1,1
65,0.4954,0.6331,446958480,0.008780,0,2,4,0,4,1.0549,1.2876,2,topk,1,1
66,0.3816,0.4704,446958480,0.008762,5,2,2,1,0,1.2206,1.2876,0,stab,1,1
67,0.4522,0.4742,446958480,0.008745,3,0,6,0,1,0.8979,1.2876,2,topk,1,1
68,0.3763,0.7023,446958480,0.008727,0,3,5,1,1,1.1683,1.2876,2,topk,1,1
69,0.4230,0.7629,446958480,0.008710,2,0,0,6,2,0.9503,1.2876,3,interp0,1,1
70,0.5045,0.5888,446958480,0.008692,2,2,2,0,4,1.3322,1.2876,4,interp1,1,0
71,0.3963,0.6651,446958480,0.008675,0,1,1,0,8,0.6390,1.2876,4,interp1,1,1
72,0.4838,0.5487,446958480,0.008658,2,4,2,0,2,1.3322,1.2876,1,used,1,0
73,0.5629,0.6377,446958480,0.008640,0,5,2,0,3,1.0297,1.2876,1,used,1,1
74,0.2760,0.6826,446958480,0.008623,1,0,2,4,3,1.2799,1.2876,3,interp0,1,1
75,0.4782,0.5757,446958480,0.008606,0,3,5,1,1,1.1683,1.2876,2,topk,1,1
76,0.3024,0.6644,446958480,0.008589,3,1,1,2,3,1.5048,1.2876,0,stab,1,0
77,0.5617,0.9726,446958480,0.008571,0,1,2,1,6,1.0889,1.2876,4,interp1,1,1
78,0.5768,0.5684,446958480,0.008554,3,4,1,1,1,1.4185,1.2876,1,used,1,0
79,0.4997,0.4296,446958480,0.008537,2,0,2,2,4,1.3322,1.2876,4,interp1,1,0
80,0.5319,0.6347,446958480,0.008520,2,1,4,3,0,1.2799,1.2876,2,topk,1,1
81,0.5402,0.5256,446958480,0.008503,0,2,3,1,4,1.2799,1.2876,4,interp1,1,1
82,0.5160,0.7128,446958480,0.008486,4,0,3,2,1,1.2799,1.2876,0,stab,1,1
83,0.4954,0.7981,446958480,0.008469,1,0,1,1,7,0.9404,1.2876,4,interp1,1,1
84,0.5836,0.4967,446958480,0.008452,0,0,4,1,5,0.9433,1.2876,4,interp1,1,1
85,0.5828,0.4754,446958480,0.008435,0,4,1,0,5,0.9433,1.2876,4,interp1,1,1
86,0.5884,0.4297,446958480,0.008418,0,0,6,2,2,0.9503,1.2876,2,topk,1,1
87,0.4337,0.4902,446958480,0.008402,0,0,5,2,3,1.0297,1.2876,2,topk,1,1
88,0.3937,0.6097,446958480,0.008385,0,7,1,0,2,0.8018,1.2876,1,used,1,1
89,0.5341,0.7153,446958480,0.008368,2,0,6,1,1,1.0889,1.2876,2,topk,1,1
90,0.4063,0.5200,446958480,0.008351,0,3,3,4,0,1.0889,1.2876,3,interp0,1,1
91,0.5916,0.6553,446958480,0.008334,0,1,4,5,0,0.9433,1.2876,3,interp0,1,1
92,0.5317,0.5488,446958480,0.008318,1,1,4,3,1,1.4185,1.2876,2,topk,1,0
93,0.4956,0.9421,446958480,0.008301,1,0,7,0,2,0.8018,1.2876,2,topk,1,1
94,0.3608,0.5391,446958480,0.008285,0,4,3,0,3,1.0889,1.2876,1,used,1,1
95,0.3877,1.2177,446958480,0.008268,0,0,6,2,2,0.9503,1.2876,2,topk,1,1
96,0.5100,0.5670,446958480,0.008251,2,0,3,2,3,1.3662,1.2876,2,topk,1,0
97,0.5451,0.6436,446958480,0.008235,0,5,1,0,4,0.9433,1.2876,1,used,1,1
98,0.4984,0.8927,446958480,0.008219,0,0,3,6,1,0.8979,1.2876,3,interp0,1,1
99,0.5673,0.4371,446958480,0.008202,1,0,5,3,1,1.1683,1.2876,2,topk,1,1
100,0.5081,0.8203,446958480,0.008186,0,4,3,3,0,1.0889,1.2876,1,used,1,1
101,0.5952,0.4417,446958480,0.008169,0,0,5,2,3,1.0297,1.2876,2,topk,1,1
102,0.5029,0.4756,446958480,0.008153,0,1,4,4,1,1.1935,1.2876,2,topk,1,1
103,0.4652,0.5549,446958480,0.008137,0,4,3,3,0,1.0889,1.2876,1,used,1,1
104,0.5100,0.5616,446958480,0.008120,0,1,5,4,0,0.9433,1.2876,2,topk,1,1
105,0.5112,0.6362,446958480,0.008104,0,0,5,5,0,0.6931,1.2876,2,topk,1,1
106,0.4698,0.5896,446958480,0.008088,3,0,7,0,0,0.6109,1.2876,2,topk,1,1
107,0.6139,0.4111,446958480,0.008072,0,4,1,5,0,0.9433,1.2876,3,interp0,1,1
108,0.6245,0.4485,446958480,0.008056,0,0,5,1,4,0.9433,1.2876,2,topk,1,1
109,0.6004,0.4012,446958480,0.008039,0,0,2,4,4,1.0549,1.2876,3,interp0,1,1
110,0.5228,0.4448,446958480,0.008023,0,1,5,2,2,1.2206,1.2876,2,topk,1,1
111,0.6380,0.4326,446958480,0.008007,0,1,3,2,4,1.2799,1.2876,4,interp1,1,1
112,0.6131,0.5422,446958480,0.007991,1,2,5,2,0,1.2206,1.2876,2,topk,1,1
113,0.5049,0.4262,446958480,0.007975,1,1,1,5,2,1.3592,1.2876,3,interp0,1,0
114,0.6171,0.5276,446958480,0.007959,0,5,2,2,1,1.2206,1.2876,1,used,1,1
