round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
0,0.2211,1.8674,446958480,0.010000,0,7,1,2,0,0.8018,1.2876,1,used,1,1
1,0.2485,1.6342,446958480,0.009980,2,7,0,0,1,0.8018,1.2876,1,used,1,1
2,0.3355,1.6393,446958480,0.009960,5,1,4,0,0,0.9433,1.2876,0,stab,1,1
3,0.3282,1.4566,446958480,0.009940,0,9,1,0,0,0.3251,1.2876,1,used,1,1
4,0.4108,1.4850,446958480,0.009920,5,1,1,1,2,1.3592,1.2876,0,stab,1,0
5,0.4210,1.3651,446958480,0.009900,0,0,3,7,0,0.6109,1.2876,3,interp0,1,1
6,0.4545,1.3061,446958480,0.009881,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
7,0.4588,1.2599,446958480,0.009861,4,5,1,0,0,0.9433,1.2876,1,used,1,1
8,0.4782,1.1766,446958480,0.009841,4,4,0,2,0,1.0549,1.2876,0,stab,1,1
9,0.4310,1.1652,446958480,0.009821,2,0,8,0,0,0.5004,1.2876,2,topk,1,1
10,0.4800,1.1249,446958480,0.009802,0,3,0,0,7,0.6109,1.2876,4,interp1,1,1
11,0.4726,1.1060,446958480,0.009782,0,0,2,0,8,0.5004,1.2876,4,interp1,1,1
12,0.5329,1.0608,446958480,0.009763,0,0,3,7,0,0.6109,1.2876,3,interp0,1,1
13,0.5280,1.0974,446958480,0.009743,2,0,0,4,4,1.0549,1.2876,3,interp0,1,1
14,0.5153,0.9555,446958480,0.009724,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
15,0.5398,1.0400,446958480,0.009704,6,4,0,0,0,0.6730,1.2876,0,stab,1,1
16,0.5606,0.8912,446958480,0.009685,4,2,0,0,4,1.0549,1.2876,0,stab,1,1
17,0.5391,0.8651,446958480,0.009665,1,0,0,8,1,0.6390,1.2876,3,interp0,1,1
18,0.5561,0.9175,446958480,0.009646,0,8,0,1,1,0.6390,1.2876,1,used,1,1
19,0.5842,0.8534,446958480,0.009627,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
20,0.5628,0.8038,446958480,0.009608,7,1,2,0,0,0.8018,1.2876,0,stab,1,1
21,0.5845,0.8563,446958480,0.009588,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
22,0.5569,0.8090,446958480,0.009569,0,1,2,2,5,1.2206,1.2876,4,interp1,1,1
23,0.6043,0.8443,446958480,0.009550,0,0,8,2,0,0.5004,1.2876,2,topk,1,1
24,0.6189,0.7394,446958480,0.009531,3,0,7,0,0,0.6109,1.2876,2,topk,1,1
25,0.6288,0.7707,446958480,0.009512,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
26,0.6300,0.7516,446958480,0.009493,3,3,0,2,2,1.3662,1.2876,0,stab,1,0
27,0.6368,0.7264,446958480,0.009474,3,0,7,0,0,0.6109,1.2876,2,topk,1,1
28,0.6418,0.7186,446958480,0.009455,0,9,0,1,0,0.3251,1.2876,1,used,1,1
29,0.6462,0.6636,446958480,0.009436,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
30,0.6472,0.7219,446958480,0.009417,0,0,0,7,3,0.6109,1.2876,3,interp0,1,1
31,0.6356,0.6492,446958480,0.009398,5,1,0,2,2,1.2206,1.2876,0,stab,1,1
32,0.6274,0.6776,446958480,0.009379,0,10,0,0,0,0.0000,1.2876,1,used,1,1
33,0.6205,0.6406,446958480,0.009361,4,1,3,0,2,1.2799,1.2876,0,stab,1,1
34,0.6798,0.6726,446958480,0.009342,0,7,0,2,1,0.8018,1.2876,1,used,1,1
35,0.6720,0.5891,446958480,0.009323,9,1,0,0,0,0.3251,1.2876,0,stab,1,1
36,0.6673,0.6045,446958480,0.009305,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
37,0.6795,0.5639,446958480,0.009286,4,1,5,0,0,0.9433,1.2876,2,topk,1,1
38,0.6810,0.5786,446958480,0.009267,0,10,0,0,0,0.0000,1.2876,1,used,1,1
39,0.6798,0.5355,446958480,0.009249,2,0,1,3,4,1.2799,1.2876,4,interp1,1,1
40,0.6980,0.5406,446958480,0.009230,1,9,0,0,0,0.3251,1.2876,1,used,1,1
41,0.6997,0.5032,446958480,0.009212,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
42,0.7057,0.5133,446958480,0.009194,0,1,1,4,4,1.1935,1.2876,3,interp0,1,1
43,0.6977,0.5358,446958480,0.009175,0,6,0,1,3,0.8979,1.2876,1,used,1,1
44,0.6901,0.5564,446958480,0.009157,8,1,1,0,0,0.6390,1.2876,0,stab,1,1
45,0.7093,0.5579,446958480,0.009138,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
46,0.7047,0.5050,446958480,0.009120,6,2,2,0,0,0.9503,1.2876,0,stab,1,1
47,0.7093,0.5438,446958480,0.009102,0,0,7,3,0,0.6109,1.2876,2,topk,1,1
48,0.7071,0.4624,446958480,0.009084,2,0,0,6,2,0.9503,1.2876,3,interp0,1,1
49,0.7112,0.4992,446958480,0.009066,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
50,0.7094,0.4501,446958480,0.009047,1,0,0,2,7,0.8018,1.2876,4,interp1,1,1
51,0.7314,0.5312,446958480,0.009029,0,6,0,1,3,0.8979,1.2876,1,used,1,1
52,0.7225,0.4174,446958480,0.009011,4,1,1,2,2,1.4708,1.2876,0,stab,1,0
53,0.7303,0.5298,446958480,0.008993,2,5,3,0,0,1.0297,1.2876,1,used,1,1
54,0.7249,0.4807,446958480,0.008975,0,10,0,0,0,0.0000,1.2876,1,used,1,1
55,0.7406,0.4787,446958480,0.008957,3,4,3,0,0,1.0889,1.2876,1,used,1,1
56,0.7284,0.4250,446958480,0.008939,0,0,6,0,4,0.6730,1.2876,2,topk,1,1
57,0.7461,0.4525,446958480,0.008922,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
58,0.7472,0.4011,446958480,0.008904,6,1,2,1,0,1.0889,1.2876,0,stab,1,1
59,0.7470,0.4599,446958480,0.008886,0,7,0,3,0,0.6109,1.2876,1,used,1,1
60,0.7527,0.4195,446958480,0.008868,1,0,8,1,0,0.6390,1.2876,2,topk,1,1
61,0.7649,0.4251,446958480,0.008850,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
62,0.7481,0.3821,446958480,0.008833,5,1,4,0,0,0.9433,1.2876,0,stab,1,1
63,0.7458,0.3971,446958480,0.008815,3,1,2,3,1,1.5048,1.2876,0,stab,1,0
64,0.7673,0.3747,446958480,0.008797,0,10,0,0,0,0.0000,1.2876,1,used,1,1
65,0.7599,0.3695,446958480,0.008780,4,4,2,0,0,1.0549,1.2876,0,stab,1,1
66,0.7513,0.3784,446958480,0.008762,0,10,0,0,0,0.0000,1.2876,1,used,1,1
67,0.7461,0.3836,446958480,0.008745,6,1,2,1,0,1.0889,1.2876,0,stab,1,1
68,0.7659,0.3654,446958480,0.008727,0,1,1,8,0,0.6390,1.2876,3,interp0,1,1
69,0.7339,0.4041,446958480,0.008710,1,1,0,8,0,0.6390,1.2876,3,interp0,1,1
70,0.7735,0.4002,446958480,0.008692,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
71,0.7762,0.3921,446958480,0.008675,5,2,3,0,0,1.0297,1.2876,0,stab,1,1
72,0.7803,0.3407,446958480,0.008658,3,4,1,2,0,1.2799,1.2876,1,used,1,1
73,0.7803,0.3705,446958480,0.008640,3,4,1,0,2,1.2799,1.2876,1,used,1,1
74,0.7878,0.3620,446958480,0.008623,0,10,0,0,0,0.0000,1.2876,1,used,1,1
75,0.7822,0.3385,446958480,0.008606,5,2,3,0,0,1.0297,1.2876,0,stab,1,1
76,0.7797,0.3562,446958480,0.008589,0,0,0,9,1,0.3251,1.2876,3,interp0,1,1
77,0.7804,0.3624,446958480,0.008571,5,0,5,0,0,0.6931,1.2876,0,stab,1,1
78,0.7750,0.3756,446958480,0.008554,0,0,1,9,0,0.3251,1.2876,3,interp0,1,1
79,0.7624,0.4221,446958480,0.008537,0,3,1,3,3,1.3138,1.2876,1,used,1,0
80,0.7751,0.3427,446958480,0.008520,0,4,0,6,0,0.6730,1.2876,3,interp0,1,1
81,0.7779,0.3549,446958480,0.008503,0,0,3,7,0,0.6109,1.2876,3,interp0,1,1
82,0.8010,0.2876,446958480,0.008486,0,3,1,5,1,1.1683,1.2876,3,interp0,1,1
83,0.7889,0.3640,446958480,0.008469,0,5,1,3,1,1.1683,1.2876,1,used,1,1
84,0.7785,0.3042,446958480,0.008452,0,4,0,6,0,0.6730,1.2876,3,interp0,1,1
85,0.7933,0.3210,446958480,0.008435,1,0,5,0,4,0.9433,1.2876,2,topk,1,1
86,0.7995,0.3113,446958480,0.008418,0,2,7,1,0,0.8018,1.2876,2,topk,1,1
87,0.7867,0.3424,446958480,0.008402,1,7,1,1,0,0.9404,1.2876,1,used,1,1
88,0.8007,0.3361,446958480,0.008385,0,3,6,1,0,0.8979,1.2876,2,topk,1,1
89,0.7650,0.2902,446958480,0.008368,0,0,8,0,2,0.5004,1.2876,2,topk,1,1
90,0.7677,0.2896,446958480,0.008351,0,1,6,1,2,1.0889,1.2876,2,topk,1,1
91,0.7994,0.3557,446958480,0.008334,1,1,6,1,1,1.2275,1.2876,2,topk,1,1
92,0.7836,0.3395,446958480,0.008318,1,1,2,5,1,1.3592,1.2876,3,interp0,1,0
93,0.7930,0.2929,446958480,0.008301,0,1,7,1,1,0.9404,1.2876,2,topk,1,1
94,0.8040,0.3050,446958480,0.008285,1,0,4,4,1,1.1935,1.2876,2,topk,1,1
95,0.7918,0.3182,446958480,0.008268,3,1,1,3,2,1.5048,1.2876,0,stab,1,0
96,0.7952,0.2798,446958480,0.008251,3,2,2,3,0,1.3662,1.2876,0,stab,1,0
97,0.7857,0.2695,446958480,0.008235,0,1,1,0,8,0.6390,1.2876,4,interp1,1,1
98,0.8009,0.2864,446958480,0.008219,0,0,8,1,1,0.6390,1.2876,2,topk,1,1
99,0.8073,0.2837,446958480,0.008202,1,0,4,1,4,1.1935,1.2876,2,topk,1,1
100,0.7894,0.3132,446958480,0.008186,0,6,0,2,2,0.9503,1.2876,1,used,1,1
101,0.8008,0.2964,446958480,0.008169,0,0,4,3,3,1.0889,1.2876,2,topk,1,1
102,0.8076,0.2760,446958480,0.008153,0,1,2,4,3,1.2799,1.2876,3,interp0,1,1
103,0.8058,0.2620,446958480,0.008137,1,6,1,2,0,1.0889,1.2876,1,used,1,1
104,0.8068,0.2583,446958480,0.008120,0,5,2,3,0,1.0297,1.2876,1,used,1,1
105,0.8082,0.2836,446958480,0.008104,0,3,5,2,0,1.0297,1.2876,2,topk,1,1
106,0.8062,0.3046,446958480,0.008088,0,3,1,3,3,1.3138,1.2876,1,used,1,0
107,0.8047,0.2836,446958480,0.008072,2,1,1,2,4,1.4708,1.2876,4,interp1,1,0
108,0.8121,0.2962,446958480,0.008056,3,1,2,1,3,1.5048,1.2876,0,stab,1,0
109,0.8037,0.2636,446958480,0.008039,0,0,3,2,5,1.0297,1.2876,4,interp1,1,1
110,0.8076,0.3002,446958480,0.008023,0,0,4,1,5,0.9433,1.2876,4,interp1,1,1
111,0.8029,0.2461,446958480,0.008007,0,1,4,3,2,1.2799,1.2876,2,topk,1,1
112,0.8082,0.2788,446958480,0.007991,1,4,4,0,1,1.1935,1.2876,1,used,1,1
113,0.8118,0.2446,446958480,0.007975,0,1,4,5,0,0.9433,1.2876,3,interp0,1,1
114,0.8192,0.2563,446958480,0.007959,0,1,8,1,0,0.6390,1.2876,2,topk,1,1
115,0.8148,0.2274,446958480,0.007944,0,4,3,3,0,1.0889,1.2876,1,used,1,1
116,0.8136,0.2550,446958480,0.007928,0,0,4,6,0,0.6730,1.2876,3,interp0,1,1
117,0.8171,0.2385,446958480,0.007912,0,0,5,0,5,0.6931,1.2876,2,topk,1,1
118,0.8223,0.2384,446958480,0.007896,7,0,3,0,0,0.6109,1.2876,0,stab,1,1
119,0.7966,0.2745,446958480,0.007880,0,0,8,0,2,0.5004,1.2876,2,topk,1,1
120,0.8032,0.2528,446958480,0.007864,0,3,3,4,0,1.0889,1.2876,3,interp0,1,1
121,0.8014,0.2508,446958480,0.007849,0,0,4,2,4,1.0549,1.2876,2,topk,1,1
122,0.8243,0.2499,446958480,0.007833,0,2,5,3,0,1.0297,1.2876,2,topk,1,1
