round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,usage_interp2,usage_interp3,usage_orth0,usage_seed0,usage_seed1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
819,0.9125,0.0091,446958480,0.001940,0,1,1,4,2,1,1,0,0,0,1.6094,1.8421,3,interp0,1,1
820,0.9125,0.0063,446958480,0.001937,0,4,2,1,2,0,0,0,1,0,1.4708,1.8421,1,used,1,1
821,0.9110,0.0153,446958480,0.001933,0,0,0,5,3,1,1,0,0,0,1.1683,1.8421,3,interp0,1,1
822,0.9110,0.0108,446958480,0.001929,0,1,1,0,1,4,0,0,3,0,1.4185,1.8421,5,interp2,1,1
823,0.9107,0.0088,446958480,0.001925,0,0,0,1,0,2,4,0,2,1,1.4708,1.8421,6,interp3,1,1
824,0.9113,0.0153,446958480,0.001921,0,2,0,1,0,0,2,1,4,0,1.4708,1.8421,8,seed0,1,1
825,0.9099,0.0160,446958480,0.001917,0,0,0,0,1,4,2,0,2,1,1.4708,1.8421,5,interp2,1,1
826,0.9117,0.0125,446958480,0.001913,0,0,0,1,3,2,1,0,2,1,1.6957,1.8421,4,interp1,1,1
827,0.9123,0.0084,446958480,0.001910,0,0,1,1,3,1,1,1,0,2,1.8344,1.8421,4,interp1,1,1
828,0.9138,0.0091,446958480,0.001906,0,0,0,1,2,2,0,2,2,1,1.7481,1.8421,4,interp1,1,1
829,0.9108,0.0081,446958480,0.001902,0,4,1,1,0,0,1,0,0,3,1.4185,1.8421,1,used,1,1
830,0.9109,0.0100,446958480,0.001898,0,2,1,2,0,0,0,0,2,3,1.5571,1.8421,9,seed1,1,1
831,0.9096,0.0147,446958480,0.001894,0,0,0,3,2,0,1,0,2,2,1.5571,1.8421,3,interp0,1,1
832,0.9097,0.0141,446958480,0.001891,0,0,0,2,0,1,0,1,2,4,1.4708,1.8421,9,seed1,1,1
833,0.9106,0.0130,446958480,0.001887,0,0,0,2,2,2,1,0,1,2,1.7481,1.8421,3,interp0,1,1
834,0.9094,0.0135,446958480,0.001883,0,0,0,1,1,1,0,0,2,5,1.3592,1.8421,9,seed1,1,1
835,0.9081,0.0208,446958480,0.001879,0,0,1,0,0,3,0,0,1,5,1.1683,1.8421,9,seed1,1,1
836,0.9100,0.0100,446958480,0.001876,0,0,0,3,0,6,0,0,0,1,0.8979,1.8421,5,interp2,1,1
837,0.9128,0.0178,446958480,0.001872,0,0,0,0,0,4,1,1,3,1,1.4185,1.8421,5,interp2,1,1
838,0.9108,0.0097,446958480,0.001868,0,0,1,0,1,0,1,3,4,0,1.4185,1.8421,8,seed0,1,1
839,0.9115,0.0075,446958480,0.001864,0,2,3,1,0,0,1,2,1,0,1.6957,1.8421,2,topk,1,1
840,0.9115,0.0078,446958480,0.001861,0,0,0,1,2,1,1,2,1,2,1.8867,1.8421,4,interp1,1,0
841,0.9118,0.0135,446958480,0.001857,0,0,0,2,2,1,0,1,3,1,1.6957,1.8421,8,seed0,1,1
842,0.9123,0.0129,446958480,0.001853,0,0,0,3,0,4,1,0,2,0,1.2799,1.8421,5,interp2,1,1
843,0.9128,0.0079,446958480,0.001849,0,0,0,2,1,0,0,1,3,3,1.5048,1.8421,8,seed0,1,1
844,0.9124,0.0064,446958480,0.001846,0,0,0,6,0,0,0,2,1,1,1.0889,1.8421,3,interp0,1,1
845,0.9122,0.0091,446958480,0.001842,0,1,3,1,2,2,0,0,1,0,1.6957,1.8421,2,topk,1,1
846,0.9118,0.0069,446958480,0.001838,0,0,0,0,2,1,0,1,2,4,1.4708,1.8421,9,seed1,1,1
847,0.9121,0.0075,446958480,0.001835,0,2,0,0,0,1,0,4,1,2,1.4708,1.8421,7,orth0,1,1
848,0.9099,0.0090,446958480,0.001831,0,4,0,0,0,0,0,0,4,2,1.0549,1.8421,1,used,1,1
849,0.9110,0.0070,446958480,0.001827,0,0,0,2,3,0,0,2,0,3,1.3662,1.8421,4,interp1,1,1
850,0.9113,0.0069,446958480,0.001824,0,0,0,3,1,0,0,1,3,2,1.5048,1.8421,3,interp0,1,1
851,0.9102,0.0070,446958480,0.001820,0,0,0,2,2,0,0,1,4,1,1.4708,1.8421,8,seed0,1,1
852,0.9110,0.0063,446958480,0.001816,0,4,0,0,4,1,0,0,1,0,1.1935,1.8421,1,used,1,1
853,0.9095,0.0169,446958480,0.001813,0,0,0,1,2,0,2,1,1,3,1.6957,1.8421,9,seed1,1,1
854,0.9100,0.0081,446958480,0.001809,0,0,0,0,2,3,2,1,0,2,1.5571,1.8421,5,interp2,1,1
855,0.9111,0.0070,446958480,0.001806,0,1,0,3,1,4,0,0,0,1,1.4185,1.8421,5,interp2,1,1
856,0.9120,0.0078,446958480,0.001802,0,0,0,0,4,0,0,0,6,0,0.6730,1.8421,8,seed0,1,1
