round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
0,0.1764,1.0524,446958480,0.010000,1,2,2,1,4,1.4708,1.2876,4,interp1,1,0
1,0.1274,1.5154,446958480,0.009980,8,1,1,0,0,0.6390,1.2876,0,stab,1,1
2,0.1034,1.3057,446958480,0.009960,2,3,1,0,4,1.2799,1.2876,4,interp1,1,1
3,0.1643,1.3307,446958480,0.009940,8,0,0,1,1,0.6390,1.2876,0,stab,1,1
4,0.2201,0.9708,446958480,0.009920,2,1,3,0,4,1.2799,1.2876,4,interp1,1,1
5,0.1035,1.2165,446958480,0.009900,4,0,0,0,6,0.6730,1.2876,4,interp1,1,1
6,0.1506,0.9804,446958480,0.009881,2,0,4,4,0,1.0549,1.2876,2,topk,1,1
7,0.2227,1.1197,446958480,0.009861,3,7,0,0,0,0.6109,1.2876,1,used,1,1
8,0.1881,0.9552,446958480,0.009841,0,3,5,1,1,1.1683,1.2876,2,topk,1,1
9,0.2078,0.9095,446958480,0.009821,0,5,0,0,5,0.6931,1.2876,1,used,1,1
10,0.2357,0.8921,446958480,0.009802,2,8,0,0,0,0.5004,1.2876,1,used,1,1
11,0.2473,1.0707,446958480,0.009782,1,0,4,1,4,1.1935,1.2876,2,topk,1,1
12,0.1928,0.7603,446958480,0.009763,0,9,0,1,0,0.3251,1.2876,1,used,1,1
13,0.2228,0.8042,446958480,0.009743,1,0,1,7,1,0.9404,1.2876,3,interp0,1,1
14,0.2239,1.0080,446958480,0.009724,2,8,0,0,0,0.5004,1.2876,1,used,1,1
15,0.2106,0.9551,446958480,0.009704,1,0,0,1,8,0.6390,1.2876,4,interp1,1,1
16,0.2012,1.1196,446958480,0.009685,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
17,0.3178,0.9558,446958480,0.009665,2,0,0,5,3,1.0297,1.2876,3,interp0,1,1
18,0.1973,1.1584,446958480,0.009646,0,2,0,7,1,0.8018,1.2876,3,interp0,1,1
19,0.2763,1.0182,446958480,0.009627,2,8,0,0,0,0.5004,1.2876,1,used,1,1
20,0.3034,0.7797,446958480,0.009608,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
21,0.3379,0.9629,446958480,0.009588,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
22,0.1587,0.7671,446958480,0.009569,4,1,2,0,3,1.2799,1.2876,0,stab,1,1
23,0.3144,0.6122,446958480,0.009550,0,7,0,2,1,0.8018,1.2876,1,used,1,1
24,0.2114,0.8727,446958480,0.009531,2,1,3,2,2,1.5571,1.2876,2,topk,1,0
25,0.3494,0.8258,446958480,0.009512,1,9,0,0,0,0.3251,1.2876,1,used,1,1
26,0.2822,0.8987,446958480,0.009493,9,1,0,0,0,0.3251,1.2876,0,stab,1,1
27,0.3092,0.9539,446958480,0.009474,0,5,0,4,1,0.9433,1.2876,1,used,1,1
28,0.3393,0.8414,446958480,0.009455,0,5,1,0,4,0.9433,1.2876,1,used,1,1
29,0.3012,0.9269,446958480,0.009436,3,0,1,6,0,0.8979,1.2876,3,interp0,1,1
30,0.2949,0.7151,446958480,0.009417,0,0,2,0,8,0.5004,1.2876,4,interp1,1,1
31,0.3189,0.8086,446958480,0.009398,9,0,1,0,0,0.3251,1.2876,0,stab,1,1
32,0.3808,0.6540,446958480,0.009379,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
33,0.3425,0.6676,446958480,0.009361,5,0,2,0,3,1.0297,1.2876,0,stab,1,1
34,0.3099,0.7865,446958480,0.009342,4,1,5,0,0,0.9433,1.2876,2,topk,1,1
35,0.2844,0.8816,446958480,0.009323,0,10,0,0,0,0.0000,1.2876,1,used,1,1
36,0.2095,0.9444,446958480,0.009305,2,3,1,1,3,1.5048,1.2876,1,used,1,0
37,0.2571,0.6235,446958480,0.009286,4,6,0,0,0,0.6730,1.2876,1,used,1,1
38,0.3532,1.0165,446958480,0.009267,4,1,0,1,4,1.1935,1.2876,0,stab,1,1
39,0.2482,0.7447,446958480,0.009249,0,8,1,1,0,0.6390,1.2876,1,used,1,1
40,0.2848,0.8332,446958480,0.009230,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
41,0.3328,0.6585,446958480,0.009212,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
42,0.3119,0.7817,446958480,0.009194,4,3,1,0,2,1.2799,1.2876,0,stab,1,1
43,0.4560,0.8891,446958480,0.009175,0,3,1,1,5,1.1683,1.2876,4,interp1,1,1
44,0.3500,0.6650,446958480,0.009157,1,1,7,1,0,0.9404,1.2876,2,topk,1,1
45,0.3218,0.6893,446958480,0.009138,2,1,7,0,0,0.8018,1.2876,2,topk,1,1
46,0.3148,0.6883,446958480,0.009120,1,8,0,0,1,0.6390,1.2876,1,used,1,1
47,0.3414,0.6779,446958480,0.009102,7,0,1,1,1,0.9404,1.2876,0,stab,1,1
48,0.3978,0.6638,446958480,0.009084,0,3,2,3,2,1.3662,1.2876,1,used,1,0
49,0.3291,0.6877,446958480,0.009066,0,5,2,0,3,1.0297,1.2876,1,used,1,1
50,0.3985,0.6921,446958480,0.009047,1,0,1,8,0,0.6390,1.2876,3,interp0,1,1
51,0.3552,0.6672,446958480,0.009029,4,1,3,0,2,1.2799,1.2876,0,stab,1,1
52,0.3893,0.7547,446958480,0.009011,0,6,1,1,2,1.0889,1.2876,1,used,1,1
53,0.2621,0.7553,446958480,0.008993,1,6,2,1,0,1.0889,1.2876,1,used,1,1
54,0.3809,0.6529,446958480,0.008975,1,3,1,5,0,1.1683,1.2876,3,interp0,1,1
55,0.4598,0.6420,446958480,0.008957,2,1,1,2,4,1.4708,1.2876,4,interp1,1,0
56,0.3808,0.4606,446958480,0.008939,1,1,3,3,2,1.5048,1.2876,2,topk,1,0
57,0.4631,0.8712,446958480,0.008922,6,3,0,0,1,0.8979,1.2876,0,stab,1,1
58,0.4320,0.6130,446958480,0.008904,4,2,3,1,0,1.2799,1.2876,0,stab,1,1
59,0.4469,0.5850,446958480,0.008886,1,0,0,1,8,0.6390,1.2876,4,interp1,1,1
60,0.4822,0.5545,446958480,0.008868,0,2,4,4,0,1.0549,1.2876,2,topk,1,1
61,0.4518,0.9017,446958480,0.008850,0,6,1,0,3,0.8979,1.2876,1,used,1,1
62,0.5485,0.4366,446958480,0.008833,0,2,1,2,5,1.2206,1.2876,4,interp1,1,1
63,0.4771,0.5230,446958480,0.008815,1,4,2,0,3,1.2799,1.2876,1,used,1,1
64,0.4986,0.5255,446958480,0.008797,4,1,1,3,1,1.4185,1.2876,0,stab,1,0
65,0.4794,0.6077,446958480,0.008780,0,4,3,1,2,1.2799,1.2876,1,used,1,1
66,0.3586,0.4072,446958480,0.008762,0,2,3,3,2,1.3662,1.2876,2,topk,1,0
67,0.3501,0.4978,446958480,0.008745,1,2,6,1,0,1.0889,1.2876,2,topk,1,1
68,0.3544,0.6775,446958480,0.008727,1,2,0,3,4,1.2799,1.2876,4,interp1,1,1
69,0.4661,0.7661,446958480,0.008710,0,5,1,1,3,1.1683,1.2876,1,used,1,1
70,0.4933,0.5969,446958480,0.008692,2,2,2,4,0,1.3322,1.2876,3,interp0,1,0
