round,test_accuracy,train_loss,uplink_bytes,learning_rate,usage_stab,usage_used,usage_topk,usage_interp0,usage_interp1,entropy,tau,top1_slot,top1_label,orth_active,mut_active
0,0.2827,2.1723,446958480,0.010000,0,8,0,2,0,0.5004,1.2876,1,used,1,1
1,0.3394,1.9484,446958480,0.009980,0,8,0,1,1,0.6390,1.2876,1,used,1,1
2,0.3896,1.7676,446958480,0.009960,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
3,0.4079,1.7643,446958480,0.009940,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
4,0.4384,1.6277,446958480,0.009920,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
5,0.4403,1.6568,446958480,0.009900,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
6,0.4425,1.5673,446958480,0.009881,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
7,0.4629,1.4985,446958480,0.009861,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
8,0.4747,1.4661,446958480,0.009841,2,1,1,0,6,1.0889,1.2876,4,interp1,1,1
9,0.4914,1.4591,446958480,0.009821,0,10,0,0,0,0.0000,1.2876,1,used,1,1
10,0.5162,1.2971,446958480,0.009802,3,4,3,0,0,1.0889,1.2876,1,used,1,1
11,0.5117,1.2950,446958480,0.009782,0,2,0,0,8,0.5004,1.2876,4,interp1,1,1
12,0.5389,1.2044,446958480,0.009763,10,0,0,0,0,0.0000,1.2876,0,stab,1,1
13,0.5467,1.2202,446958480,0.009743,2,3,5,0,0,1.0297,1.2876,2,topk,1,1
14,0.5594,1.1361,446958480,0.009724,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
15,0.5659,1.1613,446958480,0.009704,0,0,0,0,10,0.0000,1.2876,4,interp1,1,1
16,0.5856,1.0630,446958480,0.009685,5,1,4,0,0,0.9433,1.2876,0,stab,1,1
17,0.5921,1.0452,446958480,0.009665,0,0,0,10,0,0.0000,1.2876,3,interp0,1,1
18,0.6013,0.9768,446958480,0.009646,3,2,5,0,0,1.0297,1.2876,2,topk,1,1
19,0.6087,1.0640,446958480,0.009627,0,0,10,0,0,0.0000,1.2876,2,topk,1,1
20,0.6205,0.8902,446958480,0.009608,3,2,5,0,0,1.0297,1.2876,2,topk,1,1
21,0.6337,0.8752,446958480,0.009588,0,10,0,0,0,0.0000,1.2876,1,used,1,1
