round,test_accuracy,train_loss,uplink_bytes,learning_rate
0,0.1793,1.8765,446958480,0.010000
1,0.2011,1.7959,446958480,0.009980
2,0.2387,1.7632,446958480,0.009960
3,0.2649,1.6416,446958480,0.009940
4,0.2981,1.6026,446958480,0.009920
5,0.2812,1.5189,446958480,0.009900
6,0.3251,1.4960,446958480,0.009881
7,0.3426,1.4251,446958480,0.009861
8,0.3679,1.3667,446958480,0.009841
9,0.3265,1.3001,446958480,0.009821
10,0.3619,1.2715,446958480,0.009802
11,0.3867,1.3179,446958480,0.009782
12,0.4123,1.2451,446958480,0.009763
13,0.4172,1.2868,446958480,0.009743
14,0.3936,1.1796,446958480,0.009724
15,0.4210,1.3067,446958480,0.009704
16,0.4410,1.1555,446958480,0.009685
17,0.4331,1.1225,446958480,0.009665
18,0.4571,1.1419,446958480,0.009646
19,0.4648,1.1324,446958480,0.009627
20,0.4605,1.0620,446958480,0.009608
21,0.4713,1.0289,446958480,0.009588
22,0.4868,1.0232,446958480,0.009569
23,0.5018,1.0124,446958480,0.009550
24,0.5111,0.9715,446958480,0.009531
25,0.5222,1.0717,446958480,0.009512
26,0.5322,0.9909,446958480,0.009493
27,0.5310,0.9327,446958480,0.009474
28,0.5467,1.0139,446958480,0.009455
29,0.5515,0.9080,446958480,0.009436
30,0.5509,0.9424,446958480,0.009417
31,0.5417,0.8718,446958480,0.009398
32,0.5567,0.8480,446958480,0.009379
33,0.5325,0.8365,446958480,0.009361
34,0.5807,0.8935,446958480,0.009342
35,0.5799,0.8059,446958480,0.009323
36,0.5755,0.7679,446958480,0.009305
37,0.5873,0.7732,446958480,0.009286
38,0.5871,0.8000,446958480,0.009267
39,0.6023,0.7245,446958480,0.009249
40,0.5917,0.7252,446958480,0.009230
41,0.6069,0.6912,446958480,0.009212
42,0.6191,0.7547,446958480,0.009194
43,0.6073,0.8046,446958480,0.009175
44,0.6120,0.7272,446958480,0.009157
45,0.6249,0.6945,446958480,0.009138
46,0.6242,0.6669,446958480,0.009120
47,0.6287,0.7244,446958480,0.009102
48,0.6253,0.6805,446958480,0.009084
49,0.6216,0.6098,446958480,0.009066
50,0.6159,0.6517,446958480,0.009047
51,0.6359,0.6187,446958480,0.009029
52,0.6275,0.5844,446958480,0.009011
53,0.6351,0.6184,446958480,0.008993
54,0.6379,0.6117,446958480,0.008975
55,0.6543,0.6397,446958480,0.008957
56,0.6547,0.5701,446958480,0.008939
57,0.6627,0.6115,446958480,0.008922
58,0.6493,0.5339,446958480,0.008904
59,0.6584,0.5946,446958480,0.008886
60,0.6673,0.5627,446958480,0.008868
61,0.6757,0.6096,446958480,0.008850
62,0.6529,0.5584,446958480,0.008833
63,0.6582,0.5296,446958480,0.008815
64,0.6759,0.5569,446958480,0.008797
65,0.6790,0.5306,446958480,0.008780
66,0.6588,0.4992,446958480,0.008762
67,0.6747,0.4999,446958480,0.008745
68,0.6833,0.4985,446958480,0.008727
69,0.6763,0.5030,446958480,0.008710
70,0.6841,0.5144,446958480,0.008692
71,0.6881,0.5034,446958480,0.008675
72,0.7016,0.5093,446958480,0.008658
73,0.7040,0.5251,446958480,0.008640
74,0.7059,0.4737,446958480,0.008623
75,0.7032,0.4495,446958480,0.008606
76,0.7047,0.4350,446958480,0.008589
77,0.6966,0.4542,446958480,0.008571
78,0.6895,0.4498,446958480,0.008554
79,0.6976,0.4435,446958480,0.008537
80,0.6994,0.4278,446958480,0.008520
81,0.7014,0.3968,446958480,0.008503
82,0.7189,0.4153,446958480,0.008486
83,0.7079,0.4223,446958480,0.008469
84,0.7094,0.4026,446958480,0.008452
85,0.7113,0.4095,446958480,0.008435
86,0.7158,0.3957,446958480,0.008418
87,0.7218,0.4358,446958480,0.008402
88,0.7209,0.3894,446958480,0.008385
89,0.7146,0.3666,446958480,0.008368
90,0.7170,0.3571,446958480,0.008351
91,0.7331,0.4132,446958480,0.008334
92,0.7099,0.3463,446958480,0.008318
93,0.7212,0.3624,446958480,0.008301
94,0.7298,0.3368,446958480,0.008285
95,0.7198,0.3659,446958480,0.008268
96,0.7258,0.3350,446958480,0.008251
97,0.7304,0.3191,446958480,0.008235
98,0.7379,0.3604,446958480,0.008219
99,0.7373,0.3837,446958480,0.008202
100,0.7385,0.3323,446958480,0.008186
101,0.7421,0.3613,446958480,0.008169
102,0.7408,0.3395,446958480,0.008153
103,0.7449,0.3039,446958480,0.008137
104,0.7429,0.3412,446958480,0.008120
105,0.7439,0.3231,446958480,0.008104
106,0.7381,0.3653,446958480,0.008088
107,0.7395,0.3305,446958480,0.008072
108,0.7493,0.3286,446958480,0.008056
109,0.7421,0.3009,446958480,0.008039
110,0.7374,0.3179,446958480,0.008023
111,0.7528,0.3055,446958480,0.008007
112,0.7503,0.3342,446958480,0.007991
113,0.7479,0.2835,446958480,0.007975
114,0.7479,0.3018,446958480,0.007959
115,0.7498,0.2851,446958480,0.007944
116,0.7477,0.2592,446958480,0.007928
117,0.7522,0.2910,446958480,0.007912
118,0.7545,0.2776,446958480,0.007896
119,0.7451,0.3090,446958480,0.007880
120,0.7531,0.2708,446958480,0.007864
121,0.7531,0.2795,446958480,0.007849
122,0.7661,0.2786,446958480,0.007833
123,0.7581,0.2582,446958480,0.007817
124,0.7624,0.2557,446958480,0.007802
125,0.7628,0.2376,446958480,0.007786
126,0.7670,0.2785,446958480,0.007770
127,0.7641,0.2738,446958480,0.007755
128,0.7639,0.2627,446958480,0.007739
129,0.7581,0.2401,446958480,0.007724
130,0.7596,0.2250,446958480,0.007709
131,0.7545,0.2177,446958480,0.007693
132,0.7675,0.2517,446958480,0.007678
133,0.7634,0.2328,446958480,0.007662
134,0.7692,0.2251,446958480,0.007647
135,0.7660,0.2267,446958480,0.007632
136,0.7733,0.2702,446958480,0.007616
137,0.7607,0.2322,446958480,0.007601
138,0.7602,0.2621,446958480,0.007586
139,0.7646,0.2874,446958480,0.007571
140,0.7673,0.2497,446958480,0.007556
141,0.7771,0.2541,446958480,0.007541
142,0.7745,0.2245,446958480,0.007526
143,0.7834,0.2386,446958480,0.007510
144,0.7698,0.2099,446958480,0.007495
145,0.7729,0.2002,446958480,0.007480
146,0.7732,0.2217,446958480,0.007466
147,0.7774,0.2094,446958480,0.007451
148,0.7776,0.2113,446958480,0.007436
149,0.7742,0.2217,446958480,0.007421
150,0.7686,0.1917,446958480,0.007406
151,0.7736,0.2043,446958480,0.007391
152,0.7805,0.2159,446958480,0.007376
153,0.7807,0.2139,446958480,0.007362
154,0.7784,0.1904,446958480,0.007347
155,0.7710,0.2121,446958480,0.007332
156,0.7822,0.1928,446958480,0.007318
157,0.7807,0.2011,446958480,0.007303
158,0.7887,0.1846,446958480,0.007288
159,0.7861,0.1646,446958480,0.007274
160,0.7814,0.1762,446958480,0.007259
161,0.7820,0.2189,446958480,0.007245
162,0.7831,0.1941,446958480,0.007230
163,0.7762,0.1782,446958480,0.007216
164,0.7871,0.1823,446958480,0.007201
165,0.7892,0.1681,446958480,0.007187
166,0.7877,0.1869,446958480,0.007172
167,0.7823,0.1671,446958480,0.007158
168,0.7712,0.1564,446958480,0.007144
169,0.7893,0.1768,446958480,0.007130
170,0.7928,0.1770,446958480,0.007115
171,0.7878,0.1729,446958480,0.007101
172,0.7887,0.1816,446958480,0.007087
173,0.7868,0.1878,446958480,0.007073
174,0.7925,0.1724,446958480,0.007059
175,0.7838,0.1928,446958480,0.007044
176,0.7886,0.1947,446958480,0.007030
177,0.7933,0.1484,446958480,0.007016
178,0.7949,0.1679,446958480,0.007002
179,0.7868,0.1602,446958480,0.006988
180,0.7893,0.1529,446958480,0.006974
181,0.7916,0.1593,446958480,0.006960
182,0.7844,0.1517,446958480,0.006946
183,0.8026,0.1669,446958480,0.006932
184,0.7953,0.1656,446958480,0.006919
185,0.7939,0.1570,446958480,0.006905
186,0.7974,0.1507,446958480,0.006891
187,0.7974,0.1514,446958480,0.006877
188,0.7914,0.1672,446958480,0.006863
189,0.7843,0.1396,446958480,0.006850
190,0.7895,0.1408,446958480,0.006836
191,0.7842,0.1378,446958480,0.006822
192,0.7979,0.1585,446958480,0.006809
